// Incomplete, bruteforced from opcodes-783-1109.txt and opcodes-787-521.txt and opcodes-742-544.txt and opcodes-780-770.txt and opcodes-777-2001.txt
// Cache 858 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 780 is still covered by 770 and 1002.
push_var,677
pop_var,1029
push_varbit,465
pop_varbit,841
push_constant_string,51
branch,200
branch_not,794
branch_equals,168
branch_less_than,196
branch_greater_than,59
branch_less_than_or_equals,195
branch_greater_than_or_equals,511
push_int_local,136
pop_int_local,923
push_string_local,714
pop_string_local,270
join_string,185
pop_int_discard,257
pop_string_discard,1105
gosub_with_params,757
define_array,86
push_array_int,952
pop_array_int,646
switch,1041
push_long_local,543
long_branch_not,1106
cc_create,54
cc_delete,749
cc_deleteall,581
if_sendtofront,1087
if_sendtoback,107
cc_sendtofront,41
cc_sendtoback,193
if_resume_pausebutton,779
baseidkit,162
basecolour,628
setobj,837
cc_setposition,11
cc_setsize,143
cc_sethide,304
cc_setaspect,935
cc_setnoclickthrough,554
cc_setscrollpos,14
cc_setcolour,1056
cc_setfill,1008
cc_settrans,13
cc_setlinewid,656
cc_setgraphic,798
cc_set2dangle,377
cc_settiling,582
cc_setmodel,651
cc_setmodelangle,800
cc_setmodelanim,448
cc_setmodelorthog,436
cc_settext,262
cc_settextfont,152
cc_settextalign,1115
cc_settextshadow,1063
cc_setoutline,249
cc_setgraphicshadow,813
cc_setvflip,1067
cc_sethflip,1112
cc_setscrollsize,384
cc_setalpha,781
cc_setmodelzoom,184
cc_setlinedirection,151
cc_setmaxlines,50
cc_setparam_int,461
cc_setparam_string,604
cc_setretex,754
cc_setparam,664
cc_setclickmask,982
cc_setobject,119
cc_setnpchead,170
cc_setplayerhead_self,1010
cc_setnpcmodel,902
cc_setobject_nonum,17
cc_setlinkfriend,76
cc_setobject_wearcol,1030
cc_setplayermodel_self,845
cc_setobject_alwaysnum,737
cc_setop,958
cc_setdraggable,676
cc_setdragrenderbehaviour,934
cc_setdragdeadzone,832
cc_setdragdeadtime,371
cc_setopbase,308
cc_settargetverb,484
cc_clearops,373
cc_settargetcursors,739
cc_setopcursor,852
cc_setpausetext,293
cc_settargetopcursor,753
cc_setopkey,1118
cc_setoptkey,780
cc_setopkeyignoreheld,871
cc_setoptkeyignoreheld,144
cc_setmouseovercursor,1064
cc_setonclick,772
cc_setonhold,659
cc_setonrelease,157
cc_setonmouseover,437
cc_setonmouseleave,843
cc_setondrag,1117
cc_setontargetleave,301
cc_setonvartransmit,1006
cc_setontimer,690
cc_setonop,442
cc_setondragcomplete,317
cc_setonmouserepeat,486
cc_setoninvtransmit,38
cc_setonstattransmit,981
cc_setontargetenter,482
