// Incomplete, bruteforced from opcodes-799-1515.txt and opcodes-800-572.txt
push_var,112
pop_var,646
push_varbit,333
pop_varbit,1016
push_constant_string,551
branch,97
branch_not,108
branch_equals,1113
branch_less_than,195
branch_greater_than,445
branch_less_than_or_equals,565
branch_greater_than_or_equals,159
push_int_local,838
pop_int_local,1047
push_string_local,193
pop_string_local,894
join_string,1083
pop_int_discard,696
pop_string_discard,393
gosub_with_params,12
define_array,612
push_array_int,1
pop_array_int,192
switch,893
push_long_local,223
long_branch_not,797
cc_create,1075
cc_delete,163
cc_deleteall,823
if_sendtofront,320
if_sendtoback,346
cc_sendtofront,131
cc_sendtoback,722
if_resume_pausebutton,896
baseidkit,586
basecolour,311
setobj,925
cc_setposition,106
cc_setsize,105
cc_sethide,776
cc_setaspect,517
cc_setnoclickthrough,831
cc_setscrollpos,1111
cc_setcolour,312
cc_setfill,661
cc_settrans,636
cc_setlinewid,358
cc_setgraphic,817
cc_set2dangle,238
cc_settiling,714
cc_setmodel,976
cc_setmodelangle,1036
cc_setmodelanim,420
cc_setmodelorthog,530
cc_settext,480
cc_settextfont,267
cc_settextalign,305
cc_settextshadow,853
cc_setoutline,1136
cc_setgraphicshadow,1137
cc_setvflip,327
cc_sethflip,366
cc_setscrollsize,383
cc_setalpha,1006
cc_setmodelzoom,697
cc_setlinedirection,568
cc_setmaxlines,245
cc_setparam_int,663
cc_setparam_string,837
cc_setretex,742
cc_setparam,673
cc_setclickmask,22
cc_setobject,850
cc_setnpchead,89
cc_setplayerhead_self,932
cc_setnpcmodel,137
cc_setobject_nonum,683
cc_setlinkfriend,503
cc_setobject_wearcol,133
cc_setplayermodel_self,435
cc_setobject_alwaysnum,396
cc_setop,363
cc_setdraggable,957
cc_setdragrenderbehaviour,73
cc_setdragdeadzone,391
cc_setdragdeadtime,954
cc_setopbase,719
cc_settargetverb,960
cc_clearops,767
cc_settargetcursors,801
cc_setopcursor,381
cc_setpausetext,706
cc_settargetopcursor,982
cc_setopkey,987
cc_setoptkey,1138
cc_setopkeyrate,557
cc_setopkeyignoreheld,833
cc_setoptkeyignoreheld,734
cc_setmouseovercursor,169
cc_setonclick,772
cc_setonhold,702
cc_setonrelease,967
cc_setonmouseover,317
cc_setonmouseleave,334
cc_setondrag,1120
cc_setontargetleave,609
cc_setonvartransmit,751
cc_setontimer,471
cc_setonop,260
cc_setondragcomplete,344
cc_setonmouserepeat,695
cc_setoninvtransmit,761
cc_setonstattransmit,440
cc_setontargetenter,694
cc_setonscrollwheel,666
cc_setonmisctransmit,423
cc_setonvarctransmit,559
cc_setonvarcstrtransmit,897
cc_clearscripthooks,167
if_setposition,194
if_setsize,382
if_sethide,1119
if_setnoclickthrough,1122
if_setscrollpos,237
if_setcolour,74
if_setfill,558
if_settrans,491
if_setgraphic,428
if_set2dangle,560
if_settiling,791
if_setmodel,1061
if_setmodelangle,59
if_setmodelanim,721
if_setmodeltint,43
if_setmodellighting,660
if_settext,876
if_settextfont,659
if_settextalign,140
if_settextshadow,1045
if_settextantimacro,278
if_setoutline,785
if_setgraphicshadow,1077
if_setvflip,775
if_sethflip,842
if_setscrollsize,575
if_setmodelzoom,917
if_setlinedirection,743
if_setmaxlines,871
if_setparam_int,6
if_setrecol,705
if_setretex,252
if_setclickmask,203
if_setobject,364
if_setnpchead,918
if_setnpcmodel,362
if_setobject_nonum,384
if_setplayermodel_self,170
if_setobject_alwaysnum,475
if_setop,582
if_setdraggable,464
if_setdragrenderbehaviour,184
if_setopbase,222
if_settargetverb,1021
if_clearops,829
if_settargetcursors,875
if_setopcursor,26
if_setpausetext,499
if_setopchar,860
if_setopkey,3
if_setoptkey,846
if_setopkeyrate,1110
if_setmouseovercursor,148
if_setonclick,1010
if_setonhold,418
if_setonrelease,204
if_setonmouseover,914
if_setonmouseleave,365
if_setondrag,322
if_setontargetleave,938
if_setonvartransmit,1023
if_setontimer,1055
if_setonop,343
if_setondragcomplete,1121
if_setonclickrepeat,1003
if_setonmouserepeat,1082
if_setoninvtransmit,667
if_setonstattransmit,398
if_setontargetenter,162
if_setonscrollwheel,587
if_setonchattransmit,280
if_setonkey,296
if_setonfriendtransmit,887
if_setonclantransmit,1064
if_setonmisctransmit,678
if_setondialogabort,46
if_setonsubchange,679
if_setonstocktransmit,1090
if_setoncamfinished,394
if_setonresize,246
if_setonvarctransmit,442
if_setonvarcstrtransmit,92
if_setonclansettingstransmit,1076
if_setonclanchanneltransmit,994
if_setonvarclantransmit,211
if_clearscripthooks,367
if_callonresize,1096
if_npc_setcustombodymodel,1074
cc_npc_setcustomrecol,283
mes,1017
return,1024
if_close,698
resume_countdialog,71
resume_namedialog,781
resume_stringdialog,96
abort_dialog,971
opplayer,741
resume_objdialog,490
cc_dragpickup,798
if_opensubclient,16
if_closesubclient,884
mes_typed,553
setup_messagebox,675
resume_hsldialog,372
resume_clanforumqfcdialog,101
sound_synth,1125
sound_jingle,1118
sound_vorbis_volume,437
sound_speech_volume,268
sound_vorbis_rate,859
email_validation_add_new_address,369
friend_setrank,1116
friend_setnotes,458
friend_add,835
friend_del,478
ignore_add,883
ignore_del,979
ignore_setnotes,117
clan_kickuser,200
clan_joinchat,79
clan_leavechat,810
ignore_add_temp,8
activeclanchannel_kickuser,540
chat_setfilter,78
chat_sendabusereport,615
chat_setmode,179
chat_sendpublic,872
chat_sendprivate,768
activechatphrase_prepare,390
activechatphrase_send,524
activechatphrase_sendprivate,526
activechatphrase_sendclan,427
activechatphrase_setdynamicint,596
activechatphrase_setdynamicobj,619
activechatphrase_sendclanchannel_affined,547
activechatphrase_sendclanchannel_listened,506
worldmap_3dview_enable,878
worldmap_3dview_disable,139
worldmap_3dview_setloddistance,513
worldmap_setcategorypriority,515
worldmap_3dview_settextfont,81
worldmap_disabletextsize,688
worldmap_disabletype,1031
worldmap_setzoom,40
worldmap_setmap,370
worldmap_jumptosourcecoord,828
worldmap_jumptodisplaycoord,321
worldmap_setmap_coord_override,774
worldmap_flashelementcategory,1056
worldmap_disableelementcategory,1132
worldmap_closemap,728
setwindowmode,236
setdefaultwindowmode,385
openurl,54
spline_new,1009
spline_addpoint,121
quit,153
openurl_nologin,495
writeconsole,990
formatminimenu,1030
setdefaultcursors,450
sethardcodedopcursors,572
notify_accountcreated,452
notify_accountcreatestarted,988
openurl_shim,606
cam_moveto,588
cam_lookat,571
cam_movealong,899
cam_reset,584
cam_forceangle,977
cam_inc_x,136
cam_dec_x,1040
cam_inc_y,958
cam_dec_y,903
cam_followcoord,1102
cam_smoothreset,134
cam2_setlookatmode,793
cam2_setpositionmode,240
cam2_setdepthplanes,501
cam2_setfieldofview,189
cam2_setlookatpoint_point,95
cam2_setpositionpoint_point,681
cam2_setlookatentity_player,158
cam2_setlookatentity_npc,72
cam2_setpositionentity_player,509
cam2_setpositionentity_npc,82
cam2_setfieldofviewscreen,532
cam2_removealleffects,402
cam2_setlookatacceleration_axis,88
cam2_setpositionacceleration_axis,952
cam2_setlookatmaxspeed_axis,757
cam2_setpositionmaxspeed_axis,594
cam2_setcollisionmode,634
cam2_updateeffect_ztilt,981
cam2_setlinearmovementmode,814
cam2_setspringproperties,155
cam2_setpositionangularinterpolation,1128
cam2_enable,1007
cam2_setsnapdistances,98
cam2_resetsnapdistances,233
login_continue,701
login_resetreply,328
resend_uid_passport_request,266
create_availablerequest,429
create_name_availablerequest,1115
create_suggest_name_request,886
create_createrequest,360
create_connectrequest,197
create_step_reached,124
lobby_entergame,908
lobby_enterlobby,448
lobby_leavelobby,145
create_setunder13,1035
login_cancel,1001
lobby_enterlobby_social_network,86
detail_brightness,543
detail_removeroofs_option,964
detail_grounddecor_on,965
detail_flickering_on,494
detail_spotshadows_on,997
detail_hardshadows,760
detail_lightdetail_high,599
