// Incomplete, bruteforced from opcodes-803-509.txt and opcodes-803-318.txt
// Only one gamepack jar is archived for 799, 800 and 801 (inner.pack-1.jar each), so no jar match is possible; 802's 101 jars and 803's 97 both exclude it.
push_var,1023
pop_var,898
push_varbit,913
pop_varbit,66
push_constant_string,697
branch,978
branch_not,948
branch_equals,314
branch_less_than,78
branch_greater_than,1001
branch_less_than_or_equals,615
branch_greater_than_or_equals,655
push_int_local,425
pop_int_local,304
push_string_local,1049
pop_string_local,601
join_string,905
pop_int_discard,1083
pop_string_discard,128
gosub_with_params,298
define_array,620
push_array_int,320
pop_array_int,474
switch,734
push_long_local,246
long_branch_not,937
cc_create,204
cc_delete,43
cc_deleteall,963
if_sendtofront,223
if_sendtoback,209
cc_sendtofront,56
cc_sendtoback,431
if_resume_pausebutton,760
baseidkit,938
basecolour,865
setobj,282
cc_setposition,840
cc_setsize,817
cc_sethide,1020
cc_setaspect,252
cc_setnoclickthrough,276
cc_setscrollpos,339
cc_setcolour,1054
cc_setfill,1051
cc_settrans,430
cc_setlinewid,682
cc_setgraphic,875
cc_set2dangle,1091
cc_settiling,870
cc_setmodel,702
cc_setmodelangle,934
cc_setmodelanim,862
cc_setmodelorthog,897
cc_settext,0
cc_settextfont,842
cc_settextalign,1092
cc_settextshadow,627
cc_setoutline,585
cc_setgraphicshadow,563
cc_setvflip,629
cc_sethflip,347
cc_setscrollsize,421
cc_setalpha,1005
cc_setmodelzoom,452
cc_setlinedirection,115
cc_setmaxlines,607
cc_setparam_int,1
cc_setparam_string,709
cc_setretex,849
cc_setparam,90
cc_setclickmask,121
cc_setobject,148
cc_setnpchead,53
cc_setplayerhead_self,539
cc_setnpcmodel,144
cc_setobject_nonum,129
cc_setlinkfriend,636
cc_setobject_wearcol,529
cc_setplayermodel_self,465
cc_setobject_alwaysnum,691
cc_setop,214
cc_setdraggable,462
cc_setdragrenderbehaviour,974
cc_setdragdeadzone,681
cc_setdragdeadtime,440
cc_setopbase,900
cc_settargetverb,207
cc_clearops,514
cc_settargetcursors,1027
cc_setopcursor,451
cc_setpausetext,1072
cc_settargetopcursor,790
cc_setopkey,747
cc_setoptkey,1143
cc_setopkeyrate,432
cc_setopkeyignoreheld,92
cc_setoptkeyignoreheld,509
cc_setmouseovercursor,307
cc_setonclick,1010
cc_setonhold,196
cc_setonrelease,925
cc_setonmouseover,818
cc_setonmouseleave,922
cc_setondrag,907
cc_setontargetleave,654
cc_setonvartransmit,889
cc_setontimer,1102
cc_setonop,424
cc_setondragcomplete,308
cc_setonclickrepeat,1052
cc_setonmouserepeat,200
cc_setoninvtransmit,1026
cc_setonstattransmit,748
cc_setontargetenter,312
cc_setonscrollwheel,617
cc_setonmisctransmit,1110
cc_setonvarctransmit,1096
cc_setonvarcstrtransmit,517
cc_clearscripthooks,51
if_setposition,1123
if_setsize,637
if_sethide,1065
if_setnoclickthrough,384
if_setscrollpos,1094
if_setcolour,871
if_setfill,205
if_settrans,982
if_setgraphic,192
if_set2dangle,228
if_settiling,966
if_setmodel,970
if_setmodelangle,429
if_setmodelanim,255
if_setmodeltint,837
if_setmodellighting,738
if_settext,445
if_settextfont,843
if_settextalign,941
if_settextshadow,1009
if_settextantimacro,467
if_setoutline,684
if_setgraphicshadow,453
if_setvflip,1031
if_sethflip,1056
if_setscrollsize,916
if_setmodelzoom,433
if_setlinedirection,861
if_setmaxlines,641
if_setparam_int,93
if_setrecol,485
if_setretex,77
if_setclickmask,732
if_setobject,605
if_setnpchead,924
if_setnpcmodel,435
if_setobject_nonum,652
if_setplayermodel_self,391
if_setobject_alwaysnum,1090
