// Incomplete, bruteforced from opcodes-809-1183.txt
// Its gamepack jar is not among the 14 archived for build 808.
push_var,1064
pop_var,542
push_varbit,527
pop_varbit,711
push_constant_string,733
branch,431
branch_not,634
branch_equals,770
branch_less_than,408
branch_greater_than,291
branch_less_than_or_equals,100
branch_greater_than_or_equals,1105
push_int_local,1145
pop_int_local,436
push_string_local,1036
pop_string_local,174
join_string,219
pop_int_discard,265
pop_string_discard,768
gosub_with_params,311
define_array,650
push_array_int,443
pop_array_int,639
switch,108
push_long_local,686
long_branch_not,341
cc_create,457
cc_delete,1098
cc_deleteall,679
if_sendtofront,1147
if_sendtoback,447
cc_sendtofront,306
cc_sendtoback,963
if_resume_pausebutton,344
baseidkit,880
basecolour,550
setobj,249
cc_setposition,936
cc_setsize,428
cc_sethide,148
cc_setaspect,1135
cc_setnoclickthrough,20
cc_setscrollpos,1140
cc_setcolour,849
cc_setfill,557
cc_settrans,44
cc_setlinewid,156
cc_setgraphic,34
cc_set2dangle,12
cc_settiling,159
cc_setmodel,340
cc_setmodelangle,210
cc_setmodelanim,988
cc_setmodelorthog,600
cc_settext,1081
cc_settextfont,211
cc_settextalign,797
cc_settextshadow,392
cc_setoutline,240
cc_setgraphicshadow,1060
cc_setvflip,137
cc_sethflip,180
cc_setscrollsize,1116
cc_setalpha,281
cc_setmodelzoom,223
cc_setlinedirection,1034
cc_setmaxlines,742
cc_setparam_int,52
cc_setparam_string,504
cc_setretex,939
cc_setparam,973
cc_setclickmask,531
cc_setobject,935
cc_setnpchead,511
cc_setplayerhead_self,533
cc_setnpcmodel,937
cc_setobject_nonum,39
cc_setlinkfriend,351
cc_setobject_wearcol,94
cc_setplayermodel_self,207
cc_setobject_alwaysnum,537
cc_setop,299
cc_setdraggable,42
cc_setdragrenderbehaviour,812
cc_setdragdeadzone,517
cc_setdragdeadtime,1018
cc_setopbase,1127
cc_settargetverb,60
cc_clearops,106
cc_settargetcursors,236
cc_setopcursor,124
cc_setpausetext,1106
cc_settargetopcursor,397
cc_setopkey,788
cc_setoptkey,1102
cc_setopkeyrate,419
cc_setopkeyignoreheld,992
cc_setoptkeyignoreheld,213
cc_setmouseovercursor,128
cc_setonclick,595
cc_setonhold,222
cc_setonrelease,561
cc_setonmouseover,1050
cc_setonmouseleave,971
cc_setondrag,701
cc_setontargetleave,989
cc_setonvartransmit,338
cc_setontimer,126
cc_setonop,365
cc_setondragcomplete,458
cc_setonclickrepeat,775
cc_setonmouserepeat,990
cc_setoninvtransmit,1088
cc_setonstattransmit,462
cc_setontargetenter,1001
cc_setonmisctransmit,526
cc_setonvarctransmit,424
cc_setonvarcstrtransmit,1123
cc_clearscripthooks,722
if_setposition,518
if_setsize,655
if_sethide,529
if_setnoclickthrough,425
if_setscrollpos,446
if_setcolour,581
if_setfill,862
if_settrans,422
if_setgraphic,559
if_set2dangle,1005
if_settiling,544
if_setmodel,676
if_setmodelangle,1117
if_setmodelanim,665
if_setmodelorthog,276
if_setmodeltint,609
if_setmodellighting,931
if_settext,898
if_settextfont,404
if_settextalign,891
if_settextshadow,863
if_settextantimacro,1039
if_setoutline,564
if_setgraphicshadow,669
if_setvflip,984
if_sethflip,1126
if_setscrollsize,429
if_setmodelzoom,909
if_setlinedirection,235
if_setmaxlines,953
if_setparam_int,367
if_setrecol,216
if_setretex,347
if_setclickmask,993
if_setobject,294
if_setnpchead,967
if_setnpcmodel,720
if_setobject_nonum,310
if_setplayermodel_self,333
if_setobject_alwaysnum,656
if_setop,892
if_setdraggable,1142
if_setdragrenderbehaviour,712
if_setdragdeadzone,321
if_setdragdeadtime,122
if_setopbase,78
if_settargetverb,76
if_clearops,1004
if_settargetcursors,949
if_setopcursor,164
