// Incomplete, bruteforced from opcodes-809-1183.txt
// Its gamepack jar is not on the mirror (85 of ~100 archived), so this holds only what scripts show.
push_var,351
pop_var,786
push_varbit,1065
pop_varbit,636
push_constant_string,176
branch,141
branch_not,764
branch_equals,359
branch_less_than,654
branch_greater_than,374
branch_less_than_or_equals,691
branch_greater_than_or_equals,1133
push_int_local,424
pop_int_local,378
push_string_local,612
pop_string_local,551
join_string,68
pop_int_discard,1019
pop_string_discard,813
gosub_with_params,851
define_array,925
push_array_int,50
pop_array_int,822
switch,695
push_long_local,821
long_branch_not,782
cc_create,1045
cc_delete,655
cc_deleteall,1117
if_sendtofront,839
if_sendtoback,1077
cc_sendtofront,350
cc_sendtoback,265
if_resume_pausebutton,643
baseidkit,678
basecolour,911
setobj,808
cc_setposition,903
cc_setsize,317
cc_sethide,147
cc_setaspect,172
cc_setnoclickthrough,216
cc_setscrollpos,575
cc_setcolour,376
cc_setfill,819
cc_settrans,876
cc_setlinewid,869
cc_setgraphic,1092
cc_set2dangle,932
cc_settiling,574
cc_setmodel,74
cc_setmodelangle,977
cc_setmodelanim,369
cc_setmodelorthog,979
cc_settext,227
cc_settextfont,576
cc_settextalign,186
cc_settextshadow,203
cc_setoutline,1001
cc_setgraphicshadow,610
cc_setvflip,438
cc_sethflip,124
cc_setscrollsize,934
cc_setalpha,1071
cc_setmodelzoom,644
cc_setlinedirection,855
cc_setmaxlines,880
cc_setparam_int,562
cc_setparam_string,559
cc_setretex,569
cc_setparam,788
cc_setclickmask,169
cc_setobject,262
cc_setnpchead,312
cc_setplayerhead_self,650
cc_setnpcmodel,245
cc_setobject_nonum,721
cc_setlinkfriend,555
cc_setobject_wearcol,450
cc_setplayermodel_self,694
cc_setobject_alwaysnum,910
cc_setop,485
cc_setdraggable,220
cc_setdragrenderbehaviour,765
cc_setdragdeadzone,251
cc_setdragdeadtime,399
cc_setopbase,131
cc_settargetverb,522
cc_clearops,708
cc_settargetcursors,105
cc_setopcursor,1115
cc_setpausetext,566
cc_settargetopcursor,247
cc_setopkey,725
cc_setoptkey,615
cc_setopkeyrate,863
cc_setopkeyignoreheld,696
cc_setoptkeyignoreheld,1015
cc_setmouseovercursor,665
cc_setonclick,1004
cc_setonhold,749
cc_setonrelease,45
cc_setonmouseover,736
cc_setonmouseleave,272
cc_setondrag,1070
cc_setontargetleave,702
cc_setonvartransmit,603
cc_setontimer,397
cc_setonop,293
cc_setondragcomplete,703
cc_setonclickrepeat,303
cc_setonmouserepeat,348
cc_setoninvtransmit,156
cc_setonstattransmit,693
cc_setontargetenter,613
cc_setonmisctransmit,742
cc_setonvarctransmit,785
cc_setonvarcstrtransmit,398
cc_clearscripthooks,579
if_setposition,776
if_setsize,294
if_sethide,838
if_setnoclickthrough,663
if_setscrollpos,837
if_setcolour,381
if_setfill,963
if_settrans,685
if_setgraphic,752
if_set2dangle,969
if_settiling,59
if_setmodel,1018
if_setmodelangle,978
if_setmodelanim,391
if_setmodelorthog,746
if_setmodeltint,817
if_setmodellighting,471
if_settext,761
if_settextfont,213
if_settextalign,152
if_settextshadow,198
if_settextantimacro,767
if_setoutline,144
if_setgraphicshadow,310
if_setvflip,401
if_sethflip,63
if_setscrollsize,679
if_setmodelzoom,273
if_setlinedirection,264
if_setmaxlines,915
if_setparam_int,349
if_setrecol,252
if_setretex,673
if_setclickmask,196
if_setobject,300
if_setnpchead,16
if_setnpcmodel,897
if_setobject_nonum,634
if_setplayermodel_self,820
if_setobject_alwaysnum,719
if_setop,1066
if_setdraggable,412
if_setdragrenderbehaviour,997
if_setdragdeadzone,778
if_setdragdeadtime,907
if_setopbase,9
if_settargetverb,801
if_clearops,385
if_settargetcursors,594
if_setopcursor,280
if_setpausetext,109
if_setopchar,955
if_setopkey,461
if_setoptkey,53
if_setopkeyrate,567
if_setmouseovercursor,301
if_setonclick,980
if_setonhold,524
if_setonrelease,968
if_setonmouseover,21
if_setonmouseleave,443
if_setondrag,870
if_setontargetleave,41
if_setonvartransmit,1040
if_setontimer,1
if_setonop,204
if_setondragcomplete,126
if_setonclickrepeat,72
if_setonmouserepeat,558
if_setoninvtransmit,298
if_setonstattransmit,1078
if_setontargetenter,454
if_setonscrollwheel,207
if_setonchattransmit,548
if_setonkey,1072
if_setonfriendtransmit,278
if_setonclantransmit,586
if_setonmisctransmit,340
if_setondialogabort,194
if_setonsubchange,638
if_setonstocktransmit,1073
if_setoncamfinished,343
if_setonresize,43
if_setonvarctransmit,734
if_setonvarcstrtransmit,122
if_setonclansettingstransmit,75
if_setonclanchanneltransmit,29
if_setonvarclantransmit,690
if_clearscripthooks,849
if_callonresize,520
if_npc_setcustombodymodel,800
cc_npc_setcustomrecol,219
mes,171
return,422
if_close,983
resume_countdialog,458
resume_namedialog,277
resume_stringdialog,1079
abort_dialog,545
opplayer,931
resume_objdialog,1021
cc_dragpickup,1060
if_opensubclient,1118
if_closesubclient,1127
mes_typed,288
setup_messagebox,406
resume_hsldialog,56
resume_clanforumqfcdialog,1044
sound_synth,875
sound_jingle,1125
sound_vorbis_volume,779
sound_speech_volume,482
sound_vorbis_rate,396
email_validation_add_new_address,305
friend_setrank,10
friend_setnotes,133
friend_add,316
friend_del,289
ignore_add,616
ignore_del,286
ignore_setnotes,816
clan_kickuser,921
clan_joinchat,751
clan_leavechat,62
ignore_add_temp,717
activeclanchannel_kickuser,215
chat_setfilter,706
chat_sendabusereport,1137
chat_setmode,1132
chat_sendpublic,1074
chat_sendprivate,954
activechatphrase_prepare,191
activechatphrase_send,1032
activechatphrase_sendprivate,1094
activechatphrase_sendclan,908
activechatphrase_setdynamicint,33
activechatphrase_setdynamicobj,732
activechatphrase_sendclanchannel_affined,181
activechatphrase_sendclanchannel_listened,1083
worldmap_3dview_enable,321
worldmap_3dview_disable,102
worldmap_3dview_setloddistance,51
worldmap_setcategorypriority,5
worldmap_3dview_settextfont,249
worldmap_disabletextsize,718
worldmap_disabletype,276
worldmap_setzoom,138
worldmap_setmap,507
worldmap_jumptosourcecoord,592
worldmap_jumptodisplaycoord,933
worldmap_setmap_coord_override,1090
worldmap_flashelementcategory,302
worldmap_disableelementcategory,3
worldmap_closemap,1062
setwindowmode,309
setdefaultwindowmode,918
openurl,214
spline_new,475
spline_addpoint,93
quit,125
openurl_nologin,587
writeconsole,514
formatminimenu,1100
setdefaultcursors,916
sethardcodedopcursors,570
notify_accountcreated,748
notify_accountcreatestarted,973
openurl_shim,1124
cam_moveto,184
cam_lookat,375
cam_movealong,178
cam_reset,966
cam_forceangle,704
cam_inc_x,667
cam_dec_x,533
cam_inc_y,136
cam_dec_y,83
cam_followcoord,1098
cam_smoothreset,383
cam2_setlookatmode,1114
cam2_setpositionmode,956
cam2_setdepthplanes,352
cam2_setfieldofview,492
cam2_setlookatpoint_point,222
cam2_setpositionpoint_point,1136
cam2_setlookatentity_player,357
cam2_setlookatentity_npc,427
cam2_setpositionentity_player,409
cam2_setpositionentity_npc,640
cam2_setfieldofviewscreen,920
cam2_removealleffects,544
cam2_setlookatacceleration_axis,116
cam2_setpositionacceleration_axis,1056
cam2_setlookatmaxspeed_axis,532
cam2_setpositionmaxspeed_axis,82
cam2_setcollisionmode,1120
cam2_updateeffect_ztilt,150
cam2_setlinearmovementmode,733
cam2_setspringproperties,541
cam2_setpositionangularinterpolation,825
cam2_enable,872
cam2_setsnapdistances,946
cam2_resetsnapdistances,388
login_continue,416
login_resetreply,335
resend_uid_passport_request,1055
create_availablerequest,521
create_name_availablerequest,716
create_suggest_name_request,1034
create_createrequest,394
create_connectrequest,806
create_step_reached,1024
lobby_entergame,384
lobby_enterlobby,972
lobby_leavelobby,709
create_setunder13,49
login_cancel,988
lobby_enterlobby_social_network,953
detail_brightness,18
detail_removeroofs_option,425
detail_grounddecor_on,793
detail_flickering_on,906
detail_spotshadows_on,710
detail_hardshadows,1130
detail_lightdetail_high,1000
detail_waterdetail_high,1069
detail_fog_on,890
detail_antialiasing,600
detail_antialiasing_quality,874
detail_stereo,763
detail_soundvol,535
detail_musicvol,842
detail_bgsoundvol,1005
detail_particles,189
detail_antialiasing_default,1108
detail_buildarea,791
detail_bloom,898
detail_customcursors,370
detail_idleanims,210
detail_groundblending,626
detail_toolkit,962
detail_toolkit_default,1134
detail_cpuusage,481
detail_texturing,984
detail_maxscreensize,275
detail_speechvol,987
detail_loginvol,1042
detail_loadingscreentype,259
detail_drawdistance,326
detail_skydetail,23
viewport_setfov,433
viewport_setzoom,504
viewport_clampfov,166
worldlist_sort,508
worldlist_pingworlds,47
force_interface_drag,993
cancel_interface_drag,14
targetmode_active,1141
targetmode_cancel,1126
autosetup_sethigh,320
autosetup_setmedium,900
autosetup_setlow,54
autosetup_setmin,261
autosetup_setcustom,205
autosetup_blackflaglast,477
video_advert_force_remove,407
video_advert_allow_skip,768
boost_advert_launch,1145
bug_report,581
array_sort,421
cc_find,1085
if_find,322
cc_getx,60
cc_gety,868
cc_getwidth,235
cc_getheight,832
cc_gethide,943
cc_getlayer,52
cc_getparentlayer,893
cc_getcolour,442
cc_getscrollx,77
cc_getscrolly,758
cc_gettext,938
cc_getmodelzoom,268
cc_getmodelangle_x,469
cc_getmodelangle_z,871
cc_getmodelangle_y,1046
cc_gettrans,1099
cc_getmodelxof,111
cc_getmodelyof,513
cc_getgraphic,162
cc_param,505
cc_get2dangle,71
cc_getgraphicdimensions,639
cc_getfontmetrics,456
cc_getinvobject,622
cc_getinvcount,26
cc_getid,735
cc_gettargetmask,873
cc_getop,930
cc_getopbase,283
if_getx,867
if_gety,602
if_getwidth,830
if_getheight,589
if_gethide,606
if_getlayer,2
if_getparentlayer,92
if_getcolour,604
if_getscrollx,1138
if_getscrolly,895
if_gettext,712
if_getscrollwidth,190
if_getscrollheight,1064
if_getmodelzoom,395
if_getmodelangle_x,661
if_getmodelangle_z,1076
if_getmodelangle_y,662
if_gettrans,306
if_getmodelxof,619
if_getmodelyof,922
if_getgraphic,90
if_get2dangle,499
if_getmodel,157
if_getgraphicdimensions,201
if_getfontmetrics,432
if_getinvobject,957
