// Incomplete, bruteforced from opcodes-814-1169.txt and opcodes-809-1183.txt
// Its gamepack jar is not on the mirror; opcodes 182 and 559 named from their call shapes.
push_var,858
pop_var,1119
push_varbit,833
pop_varbit,828
push_constant_string,450
branch,424
branch_not,190
branch_equals,202
branch_less_than,1044
branch_greater_than,954
branch_less_than_or_equals,183
branch_greater_than_or_equals,512
push_int_local,558
pop_int_local,316
push_string_local,362
pop_string_local,711
join_string,486
pop_int_discard,125
pop_string_discard,1154
gosub_with_params,996
define_array,479
push_array_int,3
pop_array_int,1082
switch,463
push_long_local,894
long_branch_not,756
cc_create,901
cc_delete,619
cc_deleteall,25
if_sendtofront,968
if_sendtoback,195
cc_sendtofront,144
cc_sendtoback,1051
if_resume_pausebutton,1099
baseidkit,332
basecolour,571
setobj,309
cc_setposition,440
cc_setsize,384
cc_sethide,621
cc_setaspect,848
cc_setnoclickthrough,846
cc_setscrollpos,60
cc_setcolour,527
cc_setfill,84
cc_settrans,844
cc_setlinewid,1059
cc_setgraphic,379
cc_set2dangle,743
cc_settiling,394
cc_setmodel,1066
cc_setmodelangle,487
cc_setmodelanim,121
cc_setmodelorthog,617
cc_settext,1095
cc_settextfont,307
cc_settextalign,985
cc_settextshadow,812
cc_setoutline,761
cc_setgraphicshadow,694
cc_setvflip,703
cc_sethflip,1032
cc_setscrollsize,286
cc_setalpha,91
cc_setmodelzoom,578
cc_setlinedirection,686
cc_setmaxlines,82
cc_setparam_int,340
cc_setparam_string,542
cc_setretex,333
cc_setparam,240
cc_setclickmask,325
cc_setobject,146
cc_setnpchead,979
cc_setplayerhead_self,170
cc_setnpcmodel,142
cc_setobject_nonum,834
cc_setlinkfriend,687
cc_setobject_wearcol,261
cc_setplayermodel_self,724
cc_setobject_alwaysnum,1100
cc_setop,565
cc_setdraggable,173
cc_setdragrenderbehaviour,877
cc_setdragdeadzone,1138
cc_setdragdeadtime,875
cc_setopbase,596
cc_settargetverb,250
cc_clearops,0
cc_settargetcursors,93
cc_setopcursor,794
cc_setpausetext,720
cc_settargetopcursor,1060
cc_setopkey,1013
cc_setoptkey,371
cc_setopkeyrate,897
cc_setopkeyignoreheld,579
cc_setoptkeyignoreheld,295
cc_setmouseovercursor,221
cc_setonclick,457
cc_setonhold,918
cc_setonrelease,514
cc_setonmouseover,777
cc_setonmouseleave,503
cc_setondrag,616
cc_setontargetleave,769
cc_setonvartransmit,540
cc_setontimer,678
cc_setonop,80
cc_setondragcomplete,322
cc_setonclickrepeat,975
cc_setonmouserepeat,408
cc_setoninvtransmit,715
cc_setonstattransmit,85
cc_setontargetenter,1009
cc_setonmisctransmit,312
cc_setonvarctransmit,1121
cc_setonvarcstrtransmit,839
cc_clearscripthooks,905
if_setposition,98
if_setsize,886
if_sethide,649
if_setnoclickthrough,1152
