// Cache 2007 is German and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 810 is still covered by 2004.
push_var,139
pop_var,442
push_varbit,271
pop_varbit,934
push_constant_string,57
branch,70
branch_not,805
branch_equals,371
branch_less_than,550
branch_greater_than,1
branch_less_than_or_equals,900
branch_greater_than_or_equals,298
push_int_local,211
pop_int_local,290
push_string_local,427
pop_string_local,1118
join_string,186
pop_int_discard,1086
pop_string_discard,776
gosub_with_params,647
define_array,810
push_array_int,127
pop_array_int,345
switch,793
push_long_local,237
long_branch_not,643
cc_create,942
cc_delete,959
cc_deleteall,257
if_sendtofront,545
if_sendtoback,35
cc_sendtofront,503
cc_sendtoback,830
if_resume_pausebutton,111
baseidkit,744
basecolour,12
setobj,912
cc_setposition,394
cc_setsize,166
cc_sethide,680
cc_setaspect,1162
cc_setnoclickthrough,515
cc_setscrollpos,74
cc_setcolour,932
cc_setfill,985
cc_settrans,309
cc_setlinewid,210
cc_setgraphic,235
cc_set2dangle,218
cc_settiling,525
cc_setmodel,979
cc_setmodelangle,295
cc_setmodelanim,691
cc_setmodelorthog,391
cc_settext,966
cc_settextfont,204
cc_settextalign,372
cc_settextshadow,920
cc_setoutline,1067
cc_setgraphicshadow,246
cc_setvflip,346
cc_sethflip,465
cc_setscrollsize,828
cc_setalpha,47
cc_setmodelzoom,930
cc_setlinedirection,690
cc_setmaxlines,658
cc_setparam_int,546
cc_setparam_string,676
cc_setretex,822
cc_setparam,692
cc_setclickmask,114
cc_setobject,232
cc_setnpchead,128
cc_setplayerhead_self,522
cc_setnpcmodel,203
cc_setobject_nonum,670
cc_setlinkfriend,763
cc_setobject_wearcol,811
cc_setplayermodel_self,207
cc_setobject_alwaysnum,1127
cc_setop,108
cc_setdraggable,1055
cc_setdragrenderbehaviour,36
cc_setdragdeadzone,159
cc_setdragdeadtime,468
cc_setopbase,694
cc_settargetverb,596
cc_clearops,769
cc_settargetcursors,695
cc_setopcursor,248
cc_setpausetext,989
cc_settargetopcursor,724
cc_setopkey,193
cc_setoptkey,433
cc_setopkeyrate,347
cc_setopkeyignoreheld,62
cc_setoptkeyignoreheld,253
cc_setmouseovercursor,97
cc_setonclick,156
cc_setonhold,739
cc_setonrelease,239
cc_setonmouseover,586
cc_setonmouseleave,832
cc_setondrag,611
cc_setontargetleave,549
cc_setonvartransmit,324
cc_setontimer,862
cc_setonop,146
cc_setondragcomplete,314
cc_setonclickrepeat,969
cc_setonmouserepeat,2
cc_setoninvtransmit,123
cc_setonstattransmit,124
cc_setontargetenter,408
cc_setonmisctransmit,813
cc_setonvarctransmit,1082
cc_setonvarcstrtransmit,1051
cc_clearscripthooks,183
if_setposition,998
if_setsize,689
if_sethide,795
if_setnoclickthrough,783
if_setscrollpos,445
if_setcolour,720
if_setfill,616
if_settrans,329
if_setgraphic,269
if_set2dangle,60
if_settiling,351
if_setmodel,494
if_setmodelangle,563
if_setmodelanim,704
if_setmodelorthog,223
