// Incomplete, bruteforced from opcodes-814-1169.txt and opcodes-809-1183.txt
// Build 813 has no gamepack (the mirror lists 812 then 814), so this holds only what scripts show.
push_var,175
pop_var,917
push_varbit,8
pop_varbit,165
push_constant_string,1148
branch,1155
branch_not,1146
branch_equals,634
branch_less_than,578
branch_greater_than,834
branch_less_than_or_equals,13
branch_greater_than_or_equals,469
push_int_local,217
pop_int_local,735
push_string_local,53
pop_string_local,645
join_string,655
pop_int_discard,263
pop_string_discard,334
gosub_with_params,1110
define_array,813
push_array_int,680
pop_array_int,526
switch,772
push_long_local,593
long_branch_not,39
cc_create,483
cc_delete,512
cc_deleteall,241
if_sendtofront,289
if_sendtoback,1161
cc_sendtofront,968
cc_sendtoback,216
if_resume_pausebutton,760
baseidkit,264
basecolour,1159
setobj,376
cc_setposition,153
cc_setsize,907
cc_sethide,145
cc_setaspect,474
cc_setnoclickthrough,915
cc_setscrollpos,1020
cc_setcolour,883
cc_setfill,826
cc_settrans,802
cc_setlinewid,355
cc_setgraphic,849
cc_set2dangle,528
cc_settiling,533
cc_setmodel,809
cc_setmodelangle,663
cc_setmodelanim,568
cc_setmodelorthog,390
cc_settext,347
cc_settextfont,158
cc_settextalign,509
cc_settextshadow,944
cc_setoutline,358
cc_setgraphicshadow,934
cc_setvflip,336
cc_sethflip,322
cc_setscrollsize,989
cc_setalpha,793
cc_setmodelzoom,395
cc_setlinedirection,1124
cc_setmaxlines,384
cc_setparam_int,889
cc_setparam_string,498
cc_setretex,866
cc_setparam,753
cc_setclickmask,1038
cc_setobject,83
cc_setnpchead,455
cc_setplayerhead_self,908
cc_setnpcmodel,391
cc_setobject_nonum,523
cc_setlinkfriend,618
cc_setobject_wearcol,194
cc_setplayermodel_self,902
cc_setobject_alwaysnum,743
cc_setop,520
cc_setdraggable,570
cc_setdragrenderbehaviour,717
cc_setdragdeadzone,219
cc_setdragdeadtime,938
cc_setopbase,942
cc_settargetverb,164
cc_clearops,177
cc_settargetcursors,687
cc_setopcursor,1072
cc_setpausetext,143
cc_settargetopcursor,1112
cc_setopkey,694
cc_setoptkey,510
cc_setopkeyrate,697
cc_setopkeyignoreheld,873
cc_setoptkeyignoreheld,422
cc_setmouseovercursor,1070
cc_setonclick,466
cc_setonhold,66
cc_setonrelease,970
cc_setonmouseover,92
cc_setonmouseleave,737
cc_setondrag,1106
cc_setontargetleave,554
cc_setonvartransmit,776
cc_setontimer,173
cc_setonop,14
cc_setondragcomplete,36
cc_setonclickrepeat,869
cc_setonmouserepeat,419
cc_setoninvtransmit,999
cc_setonstattransmit,696
cc_setontargetenter,76
cc_setonmisctransmit,339
cc_setonvarctransmit,106
cc_setonvarcstrtransmit,1053
cc_clearscripthooks,174
if_setposition,900
if_setsize,291
if_sethide,253
if_setnoclickthrough,916
if_setscrollpos,555
if_setcolour,746
if_setfill,567
if_settrans,260
if_setgraphic,432
if_set2dangle,351
if_settiling,23
if_setmodel,755
if_setmodelangle,598
if_setmodelanim,848
if_setmodelorthog,464
