// Cache 684 is Spanish and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 815 is still covered by 319, 485 and 1615.
push_constant_int,918
push_var,364
pop_var,455
push_varbit,709
pop_varbit,1026
push_constant_string,1130
branch,84
branch_not,654
branch_equals,174
branch_less_than,959
branch_greater_than,62
branch_less_than_or_equals,88
branch_greater_than_or_equals,17
push_int_local,860
pop_int_local,549
push_string_local,248
pop_string_local,421
join_string,114
pop_int_discard,698
pop_string_discard,115
gosub_with_params,733
define_array,745
push_array_int,445
pop_array_int,154
switch,352
push_long_constant,415
pop_long_discard,1083
push_long_local,806
pop_long_local,887
long_branch_not,541
long_branch_equals,1125
long_branch_less_than,1027
long_branch_greater_than,1044
long_branch_less_than_or_equals,1150
long_branch_greater_than_or_equals,8
branch_if_true,675
branch_if_false,47
cc_create,403
cc_delete,632
cc_deleteall,731
cc_invalidate,126
if_sendtofront,985
if_sendtoback,846
cc_sendtofront,754
cc_sendtoback,601
if_resume_pausebutton,1196
cc_resume_pausebutton,874
baseidkit,1122
basecolour,182
setgender,774
setobj,171
cc_setposition,1018
cc_setsize,711
cc_sethide,856
cc_setaspect,272
cc_setnoclickthrough,637
cc_setscrollpos,179
cc_setcolour,369
cc_setfill,39
cc_settrans,1015
cc_setlinewid,1135
cc_setgraphic,783
cc_set2dangle,238
cc_settiling,1114
cc_setmodel,802
cc_setmodelangle,910
cc_setmodelanim,229
cc_setmodelorthog,67
cc_setmodeltint,486
cc_setmodellighting,761
cc_resetmodellighting,647
cc_settext,167
cc_settextfont,161
cc_settextalign,669
cc_settextshadow,1060
cc_settextantimacro,106
cc_setoutline,1009
cc_setgraphicshadow,726
cc_setvflip,1145
cc_sethflip,454
cc_setscrollsize,142
cc_setalpha,577
cc_setmodelzoom,919
cc_setlinedirection,143
cc_setmodelorigin,116
cc_setmaxlines,1138
cc_setparam_int,657
cc_setparam_string,386
cc_setrecol,80
cc_setretex,479
cc_setfontmono,1045
cc_setparam,1064
cc_setclickmask,40
cc_setobject,339
cc_setnpchead,506
cc_setplayerhead_self,680
cc_setnpcmodel,704
cc_setplayermodel,1092
cc_setobject_nonum,64
cc_setskybox,375
cc_setskyboxrotation,616
cc_setlinkfriend,1154
cc_setlinkplayergroup,930
cc_setlinkactiveclanchannel,1
cc_resetlinkplayer,527
cc_setobject_wearcol,522
cc_setobject_wearcol_nonum,265
cc_setplayerinv,1088
cc_setplayermodel_self,648
cc_setobject_alwaysnum,801
cc_setobject_wearcol_alwaysnum,437
cc_setop,974
cc_setdraggable,998
cc_setdragrenderbehaviour,1071
cc_setdragdeadzone,220
cc_setdragdeadtime,190
cc_setopbase,803
cc_settargetverb,225
cc_clearops,890
cc_settargetcursors,258
cc_setopcursor,612
cc_setpausetext,815
cc_settargetopcursor,770
cc_setopchar,580
cc_setoptchar,991
cc_setopkey,1120
cc_setoptkey,810
cc_setopkeyrate,1194
cc_setoptkeyrate,1105
cc_setopkeyignoreheld,892
cc_setoptkeyignoreheld,130
cc_setmouseovercursor,478
cc_setonclick,1043
cc_setonhold,824
cc_setonrelease,778
cc_setonmouseover,546
cc_setonmouseleave,748
cc_setondrag,291
cc_setontargetleave,597
cc_setonvartransmit,682
cc_setontimer,955
cc_setonop,638
cc_setondragcomplete,1121
cc_setonclickrepeat,303
cc_setonmouserepeat,590
cc_setoninvtransmit,269
cc_setonstattransmit,345
cc_setontargetenter,251
cc_setonscrollwheel,913
cc_setonchattransmit,510
cc_setonkey,868
cc_setonfriendtransmit,31
cc_setonclantransmit,405
cc_setonmisctransmit,1126
cc_setondialogabort,531
cc_setonsubchange,1087
cc_setonstocktransmit,108
cc_setoncamfinished,462
cc_setonresize,817
cc_setonvarctransmit,385
cc_setonvarcstrtransmit,584
cc_setonopt,696
cc_setonclansettingstransmit,975
cc_setonclanchanneltransmit,458
cc_setonvarclantransmit,968
cc_setonplayergrouptransmit,753
cc_setonplayergroupvarptransmit,210
cc_clearscripthooks,399
cc_callonresize,245
if_setposition,847
if_setsize,837
if_sethide,308
if_setaspect,160
if_setnoclickthrough,1124
if_setscrollpos,43
if_setcolour,588
if_setfill,830
if_settrans,33
if_setlinewid,565
if_setgraphic,358
if_set2dangle,799
if_settiling,261
if_setmodel,343
if_setmodelangle,831
if_setmodelanim,1072
if_setmodelorthog,833
if_setmodeltint,1031
if_setmodellighting,397
if_resetmodellighting,121
if_settext,715
if_settextfont,1185
if_settextalign,191
if_settextshadow,543
if_settextantimacro,1084
if_setoutline,656
if_setgraphicshadow,995
if_setvflip,683
if_sethflip,288
if_setscrollsize,848
if_setalpha,756
if_setmodelzoom,994
if_setlinedirection,1067
if_setmodelorigin,94
if_setmaxlines,735
if_setparam_int,14
if_setparam_string,970
if_setrecol,533
if_setretex,344
if_setfontmono,714
if_setclickmask,663
if_setobject,1021
if_setnpchead,222
if_setplayerhead_self,487
if_setnpcmodel,324
if_setplayermodel,631
if_setobject_nonum,98
if_setskybox,260
if_setskyboxrotation,368
if_setlinkfriend,502
if_setlinkplayergroup,875
if_setlinkactiveclanchannel,625
if_resetlinkplayer,263
if_setobject_wearcol,112
if_setobject_wearcol_nonum,1078
if_setplayerinv,476
if_setplayermodel_self,193
if_setobject_alwaysnum,82
if_setobject_wearcol_alwaysnum,117
if_setop,149
if_setdraggable,1008
if_setdragrenderbehaviour,964
if_setdragdeadzone,1152
if_setdragdeadtime,673
if_setopbase,734
if_settargetverb,87
if_clearops,51
if_settargetcursors,307
if_setopcursor,1013
if_setpausetext,779
if_settargetopcursor,78
if_setopchar,695
if_setoptchar,567
if_setopkey,591
if_setoptkey,1109
if_setopkeyrate,173
if_setoptkeyrate,58
if_setopkeyignoreheld,646
if_setoptkeyignoreheld,70
if_setmouseovercursor,987
if_setonclick,534
if_setonhold,125
if_setonrelease,826
if_setonmouseover,460
if_setonmouseleave,262
if_setondrag,426
if_setontargetleave,978
if_setonvartransmit,336
if_setontimer,870
if_setonop,873
if_setondragcomplete,545
if_setonclickrepeat,138
if_setonmouserepeat,152
if_setoninvtransmit,620
if_setonstattransmit,413
if_setontargetenter,650
if_setonscrollwheel,176
if_setonchattransmit,447
if_setonkey,349
if_setonfriendtransmit,1108
if_setonclantransmit,579
if_setonmisctransmit,872
if_setondialogabort,624
if_setonsubchange,119
if_setonstocktransmit,139
if_setoncamfinished,373
if_setonresize,409
if_setonvarctransmit,1197
if_setonvarcstrtransmit,400
if_setonopt,920
if_setonclansettingstransmit,384
if_setonclanchanneltransmit,1001
if_setonvarclantransmit,302
if_setonplayergrouptransmit,1055
if_setonplayergroupvarptransmit,81
if_clearscripthooks,834
if_callonresize,44
if_npc_setcustombodymodel,127
cc_npc_setcustombodymodel,475
if_npc_setcustomheadmodel,621
cc_npc_setcustomheadmodel,141
if_npc_setcustomrecol,727
cc_npc_setcustomrecol,446
if_npc_setcustomretex,752
cc_npc_setcustomretex,401
mes,194
anim,374
return,1179
if_close,723
resume_countdialog,839
resume_namedialog,1162
resume_stringdialog,321
abort_dialog,961
opplayer,200
