// Incomplete, bruteforced from opcodes-820-1181.txt and opcodes-820-1442.txt and opcodes-820-723.txt and opcodes-822-1203.txt
// Build 821 has no gamepack (the mirror lists 820 then 822), so this holds only what scripts show.
push_var,656
pop_var,1005
push_varbit,356
pop_varbit,758
push_constant_string,370
branch,205
branch_not,863
branch_equals,1124
branch_less_than,95
branch_greater_than,188
branch_less_than_or_equals,666
branch_greater_than_or_equals,329
push_int_local,63
pop_int_local,610
push_string_local,866
pop_string_local,2
join_string,243
pop_int_discard,1102
pop_string_discard,1091
gosub_with_params,676
define_array,1032
push_array_int,70
pop_array_int,449
switch,745
push_long_local,155
long_branch_not,970
cc_create,976
cc_delete,444
cc_deleteall,3
if_sendtofront,98
if_sendtoback,1058
cc_sendtofront,1078
cc_sendtoback,959
if_resume_pausebutton,332
baseidkit,136
basecolour,173
setobj,474
cc_setposition,818
cc_setsize,1184
cc_sethide,458
cc_setaspect,1036
cc_setnoclickthrough,1127
cc_setscrollpos,342
cc_setcolour,672
cc_setfill,947
cc_settrans,25
cc_setlinewid,665
cc_setgraphic,1150
cc_set2dangle,584
cc_settiling,1169
cc_setmodel,688
cc_setmodelangle,599
cc_setmodelanim,1156
cc_setmodelorthog,1195
cc_settext,112
cc_settextfont,260
cc_settextalign,825
cc_settextshadow,1022
cc_setoutline,776
cc_setgraphicshadow,1164
cc_setvflip,965
cc_sethflip,409
cc_setscrollsize,734
cc_setalpha,374
cc_setmodelzoom,782
cc_setlinedirection,59
cc_setmaxlines,388
cc_setparam_int,648
cc_setparam_string,241
cc_setretex,383
cc_setparam,694
cc_setclickmask,0
cc_setobject,313
cc_setnpchead,218
cc_setplayerhead_self,920
cc_setnpcmodel,559
cc_setobject_nonum,352
cc_setlinkfriend,650
cc_setlinkplayergroup,725
cc_setlinkactiveclanchannel,1048
cc_resetlinkplayer,1094
cc_setobject_wearcol,296
cc_setplayermodel_self,364
cc_setobject_alwaysnum,1011
cc_setop,928
cc_setdraggable,535
cc_setdragrenderbehaviour,651
cc_setdragdeadzone,762
cc_setdragdeadtime,149
cc_setopbase,76
cc_settargetverb,353
cc_clearops,228
cc_settargetcursors,1038
cc_setopcursor,649
cc_setpausetext,1006
cc_settargetopcursor,502
cc_setopkey,733
cc_setoptkey,692
cc_setopkeyrate,621
cc_setopkeyignoreheld,662
cc_setoptkeyignoreheld,290
cc_setmouseovercursor,803
cc_setonclick,736
cc_setonhold,1092
cc_setonrelease,351
cc_setonmouseover,790
cc_setonmouseleave,836
cc_setondrag,894
cc_setontargetleave,485
cc_setonvartransmit,927
cc_setontimer,156
cc_setonop,697
cc_setondragcomplete,531
cc_setonclickrepeat,793
cc_setonmouserepeat,334
cc_setoninvtransmit,401
cc_setonstattransmit,66
cc_setontargetenter,54
cc_setonmisctransmit,563
cc_setonvarctransmit,475
cc_setonvarcstrtransmit,163
cc_clearscripthooks,709
if_setposition,513
if_setsize,907
if_sethide,1031
if_setnoclickthrough,488
if_setscrollpos,275
if_setcolour,532
if_setfill,128
if_settrans,931
if_setgraphic,120
if_set2dangle,561
if_settiling,756
if_setmodel,404
if_setmodelangle,983
if_setmodelanim,191
if_setmodelorthog,1111
if_setmodeltint,466
if_setmodellighting,862
if_settext,760
if_settextfont,459
if_settextalign,516
if_settextshadow,439
if_settextantimacro,1112
if_setoutline,1198
if_setgraphicshadow,1089
if_setvflip,134
if_sethflip,1070
if_setscrollsize,528
if_setmodelzoom,434
if_setlinedirection,231
if_setmaxlines,799
if_setparam_int,715
if_setrecol,323
if_setretex,471
if_setclickmask,331
if_setobject,422
if_setnpchead,376
if_setnpcmodel,764
if_setobject_nonum,837
if_setplayermodel_self,565
if_setobject_alwaysnum,935
if_setop,780
if_setdraggable,755
if_setdragrenderbehaviour,238
if_setdragdeadzone,1140
if_setdragdeadtime,581
if_setopbase,978
if_settargetverb,322
if_clearops,316
if_settargetcursors,1045
if_setopcursor,24
if_setpausetext,904
if_setopchar,233
if_setopkey,432
if_setoptkey,367
if_setopkeyrate,350
if_setmouseovercursor,303
if_setonclick,608
if_setonhold,691
if_setonrelease,788
if_setonmouseover,705
if_setonmouseleave,798
if_setondrag,784
if_setontargetleave,384
if_setonvartransmit,1035
if_setontimer,1143
if_setonop,1061
if_setondragcomplete,786
if_setonclickrepeat,1002
if_setonmouserepeat,553
if_setoninvtransmit,217
if_setonstattransmit,121
if_setontargetenter,201
if_setonscrollwheel,16
if_setonchattransmit,607
if_setonkey,902
if_setonfriendtransmit,623
if_setonclantransmit,421
if_setonmisctransmit,328
if_setondialogabort,527
if_setonsubchange,13
if_setonstocktransmit,1052
if_setoncamfinished,36
if_setonresize,675
if_setonvarctransmit,287
if_setonvarcstrtransmit,1098
if_setonclansettingstransmit,460
if_setonclanchanneltransmit,158
if_setonvarclantransmit,254
if_setonplayergrouptransmit,1049
if_setonplayergroupvarptransmit,749
if_clearscripthooks,690
if_callonresize,889
if_npc_setcustombodymodel,1129
cc_npc_setcustomrecol,26
mes,1161
return,213
if_close,993
resume_countdialog,1069
resume_namedialog,40
resume_stringdialog,423
abort_dialog,1153
opplayer,601
resume_objdialog,1041
cc_dragpickup,192
if_opensubclient,227
if_closesubclient,1200
mes_typed,1203
setup_messagebox,515
resume_hsldialog,602
resume_clanforumqfcdialog,946
sound_synth,226
sound_jingle,390
sound_vorbis_volume,604
sound_speech_volume,1013
sound_vorbis_rate,521
email_validation_add_new_address,802
friend_setrank,174
friend_setnotes,80
friend_add,510
friend_del,668
ignore_add,203
ignore_del,129
ignore_setnotes,1024
clan_kickuser,949
clan_joinchat,888
clan_leavechat,278
ignore_add_temp,1118
activeclanchannel_kickuser,569
chat_setfilter,984
chat_sendabusereport,307
chat_setmode,498
chat_sendpublic,966
chat_sendprivate,333
activechatphrase_prepare,618
activechatphrase_send,664
activechatphrase_sendprivate,304
activechatphrase_setdynamicint,747
activechatphrase_setdynamicobj,1008
worldmap_3dview_enable,821
worldmap_3dview_disable,159
worldmap_3dview_setloddistance,244
worldmap_setcategorypriority,1191
worldmap_3dview_settextfont,102
worldmap_disabletextsize,680
worldmap_disabletype,574
worldmap_setzoom,116
worldmap_setmap,242
worldmap_jumptosourcecoord,1152
worldmap_jumptodisplaycoord,873
worldmap_setmap_coord_override,271
worldmap_flashelementcategory,267
worldmap_disableelementcategory,398
worldmap_closemap,4
setwindowmode,338
setdefaultwindowmode,923
openurl,417
spline_new,15
spline_addpoint,899
quit,703
openurl_nologin,578
writeconsole,247
formatminimenu,476
setdefaultcursors,1090
sethardcodedopcursors,822
notify_accountcreated,274
notify_accountcreatestarted,990
openurl_shim,682
cam_moveto,103
cam_lookat,558
cam_movealong,486
cam_reset,413
cam_forceangle,634
cam_inc_x,403
cam_dec_x,44
cam_inc_y,948
cam_dec_y,826
cam_followcoord,522
cam_smoothreset,122
cam2_setlookatmode,992
cam2_setpositionmode,915
cam2_setdepthplanes,517
cam2_setfieldofview,540
cam2_setlookatpoint_point,433
cam2_setpositionpoint_point,772
cam2_setlookatentity_player,311
cam2_setlookatentity_npc,1037
cam2_setpositionentity_player,597
cam2_setpositionentity_npc,1030
cam2_setfieldofviewscreen,23
cam2_removealleffects,985
cam2_setlookatacceleration_axis,875
cam2_setpositionacceleration_axis,1055
cam2_setlookatmaxspeed_axis,800
cam2_setpositionmaxspeed_axis,143
cam2_setcollisionmode,154
cam2_updateeffect_ztilt,640
cam2_setlinearmovementmode,654
cam2_setspringproperties,1155
cam2_setpositionangularinterpolation,777
cam2_enable,922
cam2_setsnapdistances,962
cam2_resetsnapdistances,427
login_continue,1115
login_resetreply,616
resend_uid_passport_request,529
create_availablerequest,1026
create_name_availablerequest,109
create_suggest_name_request,297
create_createrequest,589
create_connectrequest,652
create_step_reached,882
lobby_entergame,10
lobby_enterlobby,989
lobby_leavelobby,571
create_setunder13,1123
login_cancel,49
lobby_enterlobby_social_network,771
detail_brightness,152
detail_removeroofs_option,99
detail_grounddecor_on,1170
detail_flickering_on,142
detail_spotshadows_on,811
detail_hardshadows,1137
detail_lightdetail_high,1192
detail_waterdetail_high,881
detail_fog_on,635
detail_antialiasing,78
detail_antialiasing_quality,952
detail_stereo,1103
detail_soundvol,47
detail_musicvol,207
detail_bgsoundvol,382
detail_particles,223
detail_antialiasing_default,68
detail_buildarea,792
detail_bloom,593
detail_customcursors,157
detail_idleanims,1144
detail_groundblending,940
detail_toolkit,579
detail_toolkit_default,1151
detail_cpuusage,470
detail_texturing,301
detail_maxscreensize,19
detail_speechvol,1142
detail_loginvol,394
detail_loadingscreentype,1016
detail_drawdistance,358
detail_skydetail,249
viewport_setfov,828
viewport_setzoom,1004
viewport_clampfov,1175
worldlist_sort,150
worldlist_pingworlds,1187
force_interface_drag,737
cancel_interface_drag,53
targetmode_active,309
targetmode_cancel,1162
autosetup_sethigh,336
autosetup_setmedium,305
autosetup_setlow,808
autosetup_setmin,751
autosetup_setcustom,982
autosetup_blackflaglast,594
video_advert_force_remove,742
video_advert_allow_skip,266
bug_report,298
array_sort,1180
cc_find,1133
if_find,29
cc_getx,653
cc_gety,1110
cc_getwidth,612
cc_getheight,891
cc_gethide,37
cc_getlayer,1001
cc_getparentlayer,849
cc_getcolour,543
cc_getscrollx,757
cc_getscrolly,108
cc_gettext,337
cc_getmodelzoom,75
cc_getmodelangle_x,503
