// Cache 1524 is an incomplete capture and is not in caches.txt: OpenRS2 returns 404 for
// archive 12 group 4862, so it cannot be unpacked and this table cannot be verified.
push_constant_int,1040
push_var,733
pop_var,83
push_varbit,1176
pop_varbit,624
push_constant_string,201
branch,639
branch_not,838
branch_equals,207
branch_less_than,118
branch_greater_than,124
branch_less_than_or_equals,345
branch_greater_than_or_equals,948
push_int_local,727
pop_int_local,1031
push_string_local,1081
pop_string_local,1133
join_string,782
pop_int_discard,620
pop_string_discard,766
gosub_with_params,50
define_array,633
push_array_int,1003
pop_array_int,951
switch,804
push_long_constant,917
pop_long_discard,1078
push_long_local,691
pop_long_local,229
long_branch_not,161
long_branch_equals,1076
long_branch_less_than,31
long_branch_greater_than,529
long_branch_less_than_or_equals,875
long_branch_greater_than_or_equals,456
branch_if_true,840
branch_if_false,670
cc_create,374
cc_delete,957
cc_deleteall,1123
cc_invalidate,254
if_sendtofront,105
if_sendtoback,109
cc_sendtofront,206
cc_sendtoback,379
if_resume_pausebutton,1187
cc_resume_pausebutton,166
baseidkit,480
basecolour,1020
setgender,92
setobj,1125
cc_setposition,16
cc_setsize,349
cc_sethide,354
cc_setaspect,363
cc_setnoclickthrough,488
cc_setscrollpos,76
cc_setcolour,1105
cc_setfill,908
cc_settrans,836
cc_setlinewid,707
cc_setgraphic,581
cc_set2dangle,576
cc_settiling,738
cc_setmodel,548
cc_setmodelangle,39
cc_setmodelanim,333
cc_setmodelorthog,1015
cc_setmodeltint,922
cc_setmodellighting,446
cc_resetmodellighting,282
cc_settext,1014
cc_settextfont,223
cc_settextalign,412
cc_settextshadow,461
cc_settextantimacro,420
cc_setoutline,194
cc_setgraphicshadow,96
cc_setvflip,597
cc_sethflip,378
cc_setscrollsize,1021
cc_setalpha,910
cc_setmodelzoom,886
cc_setlinedirection,773
cc_setmodelorigin,1010
cc_setmaxlines,932
cc_setparam_int,577
cc_setparam_string,980
cc_setrecol,803
cc_setretex,499
cc_setfontmono,681
cc_setparam,680
cc_setclickmask,257
cc_setobject,991
cc_setnpchead,1169
cc_setplayerhead_self,569
cc_setnpcmodel,1054
cc_setplayermodel,459
cc_setobject_nonum,303
cc_setlinkfriend,950
cc_setlinkfriendchat,899
cc_setlinkplayergroup,516
cc_setlinkactiveclanchannel,145
cc_resetlinkplayer,892
cc_setobject_wearcol,309
cc_setobject_wearcol_nonum,912
cc_setplayermodel_self,173
cc_setobject_alwaysnum,164
cc_setobject_wearcol_alwaysnum,298
cc_setop,768
cc_setdraggable,820
cc_setdragrenderbehaviour,818
cc_setdragdeadzone,381
cc_setdragdeadtime,509
cc_setopbase,14
cc_settargetverb,453
cc_clearops,359
cc_settargetcursors,760
cc_setopcursor,108
cc_setpausetext,497
cc_settargetopcursor,82
cc_setopchar,635
cc_setoptchar,341
cc_setopkey,119
cc_setoptkey,517
cc_setopkeyrate,426
cc_setoptkeyrate,889
cc_setopkeyignoreheld,1163
cc_setoptkeyignoreheld,155
cc_setmouseovercursor,249
cc_setonclick,442
cc_setonhold,375
cc_setonrelease,842
cc_setonmouseover,692
cc_setonmouseleave,69
cc_setondrag,126
cc_setontargetleave,627
cc_setonvartransmit,185
cc_setontimer,188
cc_setonop,513
cc_setondragcomplete,788
cc_setonclickrepeat,883
cc_setonmouserepeat,1158
cc_setoninvtransmit,152
cc_setonstattransmit,430
cc_setontargetenter,165
cc_setonscrollwheel,1084
cc_setonchattransmit,801
cc_setonkey,535
cc_setongamepadbutton,737
cc_setongamepadbuttonheld,1001
cc_setongamepadaxis,928
cc_setongamepadtrigger,533
cc_setonfriendtransmit,323
cc_setonclantransmit,319
cc_setonmisctransmit,41
cc_setondialogabort,770
cc_setonsubchange,205
cc_setonstocktransmit,656
cc_setoncamfinished,87
cc_setonresize,693
cc_setonvarctransmit,1059
cc_setonvarcstrtransmit,80
cc_setonopt,519
cc_setonclansettingstransmit,1143
cc_setonclanchanneltransmit,266
cc_setonvarclantransmit,1196
cc_setonplayergrouptransmit,573
cc_setonplayergroupvarptransmit,805
cc_setoncameraupdatetransmit,138
cc_clearscripthooks,1135
cc_callonresize,111
if_setposition,585
if_setsize,1178
if_sethide,907
if_setaspect,73
if_setnoclickthrough,876
if_setscrollpos,858
if_setcolour,600
if_setfill,7
if_settrans,276
if_setlinewid,881
if_setgraphic,798
if_set2dangle,689
if_settiling,751
if_setmodel,1164
if_setmodelangle,267
if_setmodelanim,604
if_setmodelorthog,454
if_setmodeltint,403
if_setmodellighting,609
if_resetmodellighting,800
if_settext,396
if_settextfont,32
if_settextalign,268
if_settextshadow,949
if_settextantimacro,370
if_setoutline,924
if_setgraphicshadow,450
if_setvflip,253
if_sethflip,1138
if_setscrollsize,88
if_setalpha,1050
if_setmodelzoom,543
if_setlinedirection,930
if_setmodelorigin,590
if_setmaxlines,106
if_setparam_int,261
if_setparam_string,555
if_setrecol,779
if_setretex,819
if_setfontmono,918
if_setclickmask,210
if_setobject,330
if_setnpchead,724
if_setplayerhead_self,878
if_setnpcmodel,496
if_setplayermodel,865
if_setobject_nonum,783
if_setlinkfriend,1175
if_setlinkfriendchat,148
if_setlinkplayergroup,613
if_setlinkactiveclanchannel,365
if_resetlinkplayer,648
if_setobject_wearcol,898
if_setobject_wearcol_nonum,59
if_setplayermodel_self,338
if_setobject_alwaysnum,400
if_setobject_wearcol_alwaysnum,1091
if_setop,929
if_setdraggable,897
if_setdragrenderbehaviour,183
if_setdragdeadzone,1113
if_setdragdeadtime,1137
if_setopbase,387
if_settargetverb,850
if_clearops,752
if_settargetcursors,3
if_setopcursor,397
if_setpausetext,158
if_settargetopcursor,238
if_setopchar,20
if_setoptchar,1183
if_setopkey,417
if_setoptkey,735
if_setopkeyrate,464
if_setoptkeyrate,182
if_setopkeyignoreheld,63
if_setoptkeyignoreheld,644
if_setmouseovercursor,596
if_setonclick,1043
if_setonhold,605
if_setonrelease,415
if_setonmouseover,409
if_setonmouseleave,925
if_setondrag,774
if_setontargetleave,522
if_setonvartransmit,90
if_setontimer,65
if_setonop,885
if_setondragcomplete,697
if_setonclickrepeat,141
if_setonmouserepeat,437
if_setoninvtransmit,713
