// Cache 2008 is German and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 839 is still covered by its seven other caches.
push_constant_int,237
push_var,233
pop_var,319
push_varbit,1008
pop_varbit,632
push_constant_string,849
branch,500
branch_not,79
branch_equals,757
branch_less_than,707
branch_greater_than,336
branch_less_than_or_equals,868
branch_greater_than_or_equals,1040
push_int_local,161
pop_int_local,497
push_string_local,429
pop_string_local,867
join_string,1112
pop_int_discard,709
pop_string_discard,992
gosub_with_params,690
define_array,2
push_array_int,865
pop_array_int,571
switch,207
push_long_constant,356
pop_long_discard,886
push_long_local,582
pop_long_local,633
long_branch_not,196
long_branch_equals,1140
long_branch_less_than,1181
long_branch_greater_than,480
long_branch_less_than_or_equals,263
long_branch_greater_than_or_equals,258
branch_if_true,728
branch_if_false,598
cc_create,1148
cc_delete,570
cc_deleteall,226
cc_invalidate,1086
if_sendtofront,652
if_sendtoback,1106
cc_sendtofront,1117
cc_sendtoback,392
if_resume_pausebutton,1001
cc_resume_pausebutton,718
baseidkit,162
basecolour,911
setgender,680
setobj,217
cc_setposition,862
cc_setsize,951
cc_sethide,1052
cc_setaspect,345
cc_setnoclickthrough,438
cc_setscrollpos,1068
cc_setcolour,228
cc_setfill,899
cc_settrans,786
cc_setlinewid,858
cc_setgraphic,1024
cc_set2dangle,1197
cc_settiling,914
cc_setmodel,65
cc_setmodelangle,449
cc_setmodelanim,1027
cc_setmodelorthog,87
cc_setmodeltint,1062
cc_setmodellighting,1113
cc_resetmodellighting,147
cc_settext,514
cc_settextfont,347
cc_settextalign,508
cc_settextshadow,874
cc_settextantimacro,399
cc_setoutline,931
cc_setgraphicshadow,394
cc_setvflip,224
cc_sethflip,1012
cc_setscrollsize,341
cc_setalpha,891
cc_setmodelzoom,827
cc_setlinedirection,325
cc_setmodelorigin,1087
cc_setmaxlines,104
cc_setparam_int,1064
cc_setparam_string,19
cc_setrecol,484
cc_setretex,498
cc_setfontmono,918
cc_setparam,928
cc_setclickmask,614
cc_setobject,1021
cc_setnpchead,704
cc_setplayerhead_self,877
cc_setnpcmodel,761
cc_setplayermodel,259
cc_setobject_nonum,290
cc_setlinkfriend,739
cc_setlinkfriendchat,698
cc_setlinkplayergroup,451
cc_setlinkactiveclanchannel,97
cc_resetlinkplayer,335
cc_setobject_wearcol,857
cc_setobject_wearcol_nonum,212
cc_setplayermodel_self,954
cc_setobject_alwaysnum,328
cc_setobject_wearcol_alwaysnum,966
cc_setop,959
cc_setdraggable,568
cc_setdragrenderbehaviour,539
cc_setdragdeadzone,120
cc_setdragdeadtime,666
cc_setopbase,466
cc_settargetverb,439
cc_clearops,232
cc_settargetcursors,490
cc_setopcursor,724
cc_setpausetext,182
cc_settargetopcursor,759
cc_setopchar,708
cc_setoptchar,353
cc_setopkey,178
cc_setoptkey,750
cc_setopkeyrate,317
cc_setoptkeyrate,299
cc_setopkeyignoreheld,502
cc_setoptkeyignoreheld,288
cc_setmouseovercursor,460
cc_setonclick,542
cc_setonhold,1054
cc_setonrelease,1077
cc_setonmouseover,367
cc_setonmouseleave,428
cc_setondrag,986
cc_setontargetleave,244
cc_setonvartransmit,406
cc_setontimer,627
cc_setonop,279
cc_setondragcomplete,717
cc_setonclickrepeat,463
cc_setonmouserepeat,173
cc_setoninvtransmit,184
cc_setonstattransmit,530
cc_setontargetenter,604
cc_setonscrollwheel,269
