// Incomplete, bruteforced from opcodes-844-1051.txt and opcodes-840-550.txt
// Cache 850 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 840 is still covered by 550 and 1911.
push_var,656
pop_var,102
push_varbit,748
pop_varbit,977
push_constant_string,340
branch,26
branch_not,1072
branch_equals,1142
branch_less_than,853
branch_greater_than,838
branch_less_than_or_equals,932
branch_greater_than_or_equals,985
push_int_local,920
pop_int_local,469
push_string_local,419
pop_string_local,1189
join_string,167
pop_int_discard,618
pop_string_discard,632
gosub_with_params,672
define_array,874
push_array_int,704
pop_array_int,628
switch,721
push_long_local,728
long_branch_not,603
cc_create,769
cc_delete,712
cc_deleteall,293
if_sendtofront,270
if_sendtoback,1071
cc_sendtofront,898
cc_sendtoback,68
if_resume_pausebutton,432
cc_resume_pausebutton,506
baseidkit,209
basecolour,82
setobj,716
cc_setposition,776
cc_setsize,20
cc_sethide,715
cc_setaspect,616
cc_setnoclickthrough,727
cc_setscrollpos,759
cc_setcolour,1110
cc_setfill,540
cc_settrans,315
cc_setlinewid,520
cc_setgraphic,536
cc_set2dangle,306
cc_settiling,461
cc_setmodel,103
cc_setmodelangle,414
cc_setmodelanim,304
cc_setmodelorthog,184
cc_settext,649
cc_settextfont,1062
cc_settextalign,359
cc_settextshadow,998
cc_setoutline,1148
cc_setgraphicshadow,154
cc_setvflip,625
cc_sethflip,142
cc_setscrollsize,116
cc_setalpha,1178
cc_setmodelzoom,637
cc_setlinedirection,264
cc_setmaxlines,204
cc_setparam_int,688
cc_setparam_string,360
cc_setretex,736
cc_setparam,450
cc_setclickmask,1194
cc_setobject,761
cc_setnpchead,1183
cc_setplayerhead_self,785
cc_setnpcmodel,428
cc_setobject_nonum,564
cc_setlinkfriend,1113
cc_setlinkfriendchat,1132
cc_setlinkplayergroup,1076
cc_setlinkactiveclanchannel,1147
cc_resetlinkplayer,578
cc_setobject_wearcol,1013
cc_setplayermodel_self,62
cc_setobject_alwaysnum,530
cc_setop,123
cc_setdraggable,940
cc_setdragrenderbehaviour,855
cc_setdragdeadzone,983
cc_setdragdeadtime,919
cc_setopbase,470
cc_settargetverb,837
cc_clearops,778
cc_settargetcursors,336
cc_setopcursor,425
cc_setpausetext,980
cc_settargetopcursor,792
cc_setopkey,954
cc_setoptkey,747
cc_setopkeyrate,1019
cc_setopkeyignoreheld,791
cc_setoptkeyignoreheld,218
cc_setmouseovercursor,863
cc_setonclick,534
cc_setonhold,946
cc_setonrelease,1098
cc_setonmouseover,988
cc_setonmouseleave,1
cc_setondrag,676
cc_setontargetleave,381
cc_setonvartransmit,1068
cc_setontimer,1163
cc_setonop,1162
cc_setondragcomplete,9
cc_setonclickrepeat,282
cc_setonmouserepeat,698
cc_setoninvtransmit,173
cc_setonstattransmit,170
cc_setontargetenter,756
cc_setonmisctransmit,169
cc_setonvarctransmit,967
cc_setonvarcstrtransmit,595
cc_clearscripthooks,485
if_setposition,202
if_setsize,650
if_sethide,1086
if_setnoclickthrough,296
if_setscrollpos,852
if_setcolour,1089
if_setfill,459
if_settrans,635
if_setgraphic,386
if_set2dangle,200
if_settiling,633
if_setmodel,501
if_setmodelangle,362
if_setmodelanim,1124
if_setmodelorthog,999
if_setmodeltint,620
if_setmodellighting,373
if_settext,323
if_settextfont,1048
if_settextalign,1131
if_settextshadow,516
if_settextantimacro,40
if_setoutline,890
if_setgraphicshadow,762
if_setvflip,817
if_sethflip,717
if_setscrollsize,265
if_setmodelzoom,393
if_setlinedirection,217
if_setmaxlines,1136
if_setparam_int,1053
if_setrecol,1052
if_setretex,550
if_setclickmask,129
if_setobject,445
if_setnpchead,132
if_setnpcmodel,166
if_setobject_nonum,929
if_setplayermodel_self,642
if_setobject_alwaysnum,287
if_setop,768
if_setdraggable,752
if_setdragrenderbehaviour,155
if_setdragdeadzone,261
if_setdragdeadtime,784
if_setopbase,849
if_settargetverb,931
if_clearops,1182
if_settargetcursors,460
if_setopcursor,245
if_setpausetext,1177
if_setopkey,714
if_setoptkey,1080
if_setopkeyrate,917
if_setmouseovercursor,417
if_setonclick,107
if_setonhold,846
if_setonrelease,234
if_setonmouseover,1003
if_setonmouseleave,361
if_setondrag,816
if_setontargetleave,723
if_setonvartransmit,812
if_setontimer,226
if_setonop,910
if_setondragcomplete,1154
if_setonclickrepeat,163
if_setonmouserepeat,891
if_setoninvtransmit,465
if_setonstattransmit,203
if_setontargetenter,138
if_setonscrollwheel,634
if_setonchattransmit,745
if_setonkey,877
if_setonfriendtransmit,449
if_setonclantransmit,1031
if_setonmisctransmit,3
if_setondialogabort,718
if_setonsubchange,543
if_setonstocktransmit,198
if_setoncamfinished,751
if_setonresize,1186
if_setonvarctransmit,693
if_setonvarcstrtransmit,928
if_setonclansettingstransmit,956
if_setonclanchanneltransmit,643
if_setonvarclantransmit,1190
