// Cache 1051 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; it is the only table for build 844.
push_constant_int,1031
push_var,984
pop_var,500
push_varbit,662
pop_varbit,196
push_constant_string,603
branch,1098
branch_not,1069
branch_equals,922
branch_less_than,493
branch_greater_than,977
branch_less_than_or_equals,976
branch_greater_than_or_equals,889
push_int_local,1212
pop_int_local,794
push_string_local,1205
pop_string_local,932
join_string,1020
pop_int_discard,620
pop_string_discard,1109
gosub_with_params,24
define_array,776
push_array_int,1057
pop_array_int,399
switch,769
push_long_constant,970
pop_long_discard,419
push_long_local,1140
pop_long_local,63
long_branch_not,711
long_branch_equals,46
long_branch_less_than,233
long_branch_greater_than,1183
long_branch_less_than_or_equals,168
long_branch_greater_than_or_equals,231
push_array_int_leave_index_on_stack,868
push_array_int_and_index,1141
pop_array_int_leave_value_on_stack,1049
branch_if_true,192
branch_if_false,674
cc_create,869
cc_delete,925
cc_deleteall,1171
cc_invalidate,362
if_sendtofront,654
if_sendtoback,89
cc_sendtofront,995
cc_sendtoback,106
if_resume_pausebutton,549
cc_resume_pausebutton,1131
baseidkit,1096
basecolour,1201
setgender,1182
setobj,676
cc_setposition,840
cc_setsize,725
cc_sethide,13
cc_setaspect,939
cc_setnoclickthrough,533
cc_setscrollpos,949
cc_setcolour,811
cc_setfill,167
cc_settrans,986
cc_setlinewid,3
cc_setgraphic,679
cc_set2dangle,745
cc_settiling,1104
cc_setmodel,979
cc_setmodelangle,450
cc_setmodelanim,714
cc_setmodelorthog,99
cc_setmodeltint,1214
cc_setmodellighting,624
cc_resetmodellighting,263
cc_settext,187
cc_settextfont,856
cc_settextalign,816
cc_settextshadow,937
cc_settextantimacro,132
cc_setoutline,405
cc_setgraphicshadow,281
cc_setvflip,640
cc_sethflip,456
cc_setscrollsize,396
cc_setalpha,329
cc_setmodelzoom,101
cc_setlinedirection,1083
cc_setmodelorigin,594
cc_setmaxlines,525
cc_setparam_int,29
cc_setparam_string,206
cc_setrecol,535
cc_setretex,149
cc_setfontmono,409
cc_setparam,830
cc_setclickmask,795
cc_setobject,438
cc_setnpchead,470
cc_setplayerhead_self,1160
cc_setnpcmodel,143
cc_setplayermodel,696
cc_setobject_nonum,1018
cc_setlinkfriend,315
cc_setlinkfriendchat,328
cc_setlinkplayergroup,661
cc_setlinkactiveclanchannel,766
cc_resetlinkplayer,86
cc_setobject_wearcol,335
cc_setobject_wearcol_nonum,66
cc_setplayermodel_self,1040
cc_setobject_alwaysnum,352
cc_setobject_wearcol_alwaysnum,668
cc_setop,683
cc_setdraggable,480
cc_setdragrenderbehaviour,1084
cc_setdragdeadzone,648
cc_setdragdeadtime,273
cc_setopbase,946
cc_settargetverb,430
cc_clearops,585
cc_settargetcursors,957
cc_setopcursor,516
cc_setpausetext,705
cc_settargetopcursor,958
cc_setopchar,519
cc_setoptchar,93
cc_setopkey,598
cc_setoptkey,828
cc_setopkeyrate,625
cc_setoptkeyrate,542
cc_setopkeyignoreheld,622
cc_setoptkeyignoreheld,1120
cc_setmouseovercursor,593
cc_setonclick,852
cc_setonhold,307
cc_setonrelease,215
cc_setonmouseover,251
cc_setonmouseleave,1042
cc_setondrag,1006
cc_setontargetleave,319
cc_setonvartransmit,1156
cc_setontimer,182
cc_setonop,468
cc_setondragcomplete,1092
cc_setonclickrepeat,1125
cc_setonmouserepeat,575
cc_setoninvtransmit,107
cc_setonstattransmit,737
cc_setontargetenter,857
cc_setonscrollwheel,1163
cc_setonchattransmit,1180
cc_setonkey,810
cc_setongamepadbutton,240
cc_setongamepadbuttonheld,1021
cc_setongamepadaxis,306
cc_setongamepadtrigger,1030
cc_setonfriendtransmit,119
cc_setonclantransmit,1000
cc_setonmisctransmit,191
cc_setondialogabort,43
cc_setonsubchange,1137
cc_setonstocktransmit,42
cc_setoncamfinished,1177
cc_setonresize,14
cc_setonvarctransmit,126
cc_setonvarcstrtransmit,108
cc_setonopt,1007
cc_setonclansettingstransmit,990
cc_setonclanchanneltransmit,146
cc_setonvarclantransmit,1167
cc_setonplayergrouptransmit,739
cc_setonplayergroupvarptransmit,767
cc_setoncameraupdatetransmit,652
cc_clearscripthooks,1165
cc_callonresize,155
if_setposition,871
if_setsize,536
if_sethide,472
if_setaspect,326
if_setnoclickthrough,452
if_setscrollpos,279
if_setcolour,1027
if_setfill,991
if_settrans,1154
if_setlinewid,694
if_setgraphic,512
if_set2dangle,965
if_settiling,1210
if_setmodel,900
if_setmodelangle,74
if_setmodelanim,529
if_setmodelorthog,611
if_setmodeltint,176
if_setmodellighting,20
if_resetmodellighting,137
if_settext,628
if_settextfont,523
if_settextalign,1029
if_settextshadow,658
if_settextantimacro,682
if_setoutline,706
if_setgraphicshadow,236
if_setvflip,917
if_sethflip,380
if_setscrollsize,634
if_setalpha,425
if_setmodelzoom,415
if_setlinedirection,596
if_setmodelorigin,424
if_setmaxlines,359
if_setparam_int,148
if_setparam_string,142
if_setrecol,68
if_setretex,1075
if_setfontmono,462
if_setclickmask,248
if_setobject,813
if_setnpchead,354
if_setplayerhead_self,31
if_setnpcmodel,82
if_setplayermodel,280
if_setobject_nonum,555
if_setlinkfriend,413
if_setlinkfriendchat,95
if_setlinkplayergroup,17
if_setlinkactiveclanchannel,724
if_resetlinkplayer,411
if_setobject_wearcol,339
if_setobject_wearcol_nonum,1124
if_setplayermodel_self,619
if_setobject_alwaysnum,178
if_setobject_wearcol_alwaysnum,85
if_setop,313
if_setdraggable,18
if_setdragrenderbehaviour,791
if_setdragdeadzone,851
if_setdragdeadtime,190
if_setopbase,241
if_settargetverb,780
if_clearops,336
if_settargetcursors,543
if_setopcursor,1157
if_setpausetext,267
if_settargetopcursor,722
if_setopchar,673
if_setoptchar,1138
if_setopkey,1196
if_setoptkey,219
if_setopkeyrate,506
if_setoptkeyrate,704
if_setopkeyignoreheld,323
if_setoptkeyignoreheld,1024
if_setmouseovercursor,832
if_setonclick,1114
if_setonhold,1072
if_setonrelease,581
if_setonmouseover,441
if_setonmouseleave,1179
if_setondrag,849
if_setontargetleave,1060
if_setonvartransmit,194
if_setontimer,783
if_setonop,369
if_setondragcomplete,1047
if_setonclickrepeat,635
if_setonmouserepeat,343
if_setoninvtransmit,748
if_setonstattransmit,412
if_setontargetenter,96
if_setonscrollwheel,499
if_setonchattransmit,131
if_setonkey,999
if_setongamepadbutton,765
if_setongamepadbuttonheld,112
if_setongamepadaxis,752
if_setongamepadtrigger,471
if_setonfriendtransmit,348
if_setonclantransmit,1192
if_setonmisctransmit,940
if_setondialogabort,954
if_setonsubchange,1215
if_setonstocktransmit,376
if_setoncamfinished,1175
if_setonresize,755
if_setonvarctransmit,879
if_setonvarcstrtransmit,25
if_setonopt,582
if_setonclansettingstransmit,314
if_setonclanchanneltransmit,363
if_setonvarclantransmit,612
if_setonplayergrouptransmit,953
if_setonplayergroupvarptransmit,451
if_setoncameraupdatetransmit,382
if_clearscripthooks,1164
if_callonresize,710
if_npc_setcustombodymodel,950
cc_npc_setcustombodymodel,678
if_npc_setcustomheadmodel,867
cc_npc_setcustomheadmodel,562
if_npc_setcustomrecol,448
cc_npc_setcustomrecol,865
if_npc_setcustomretex,1173
cc_npc_setcustomretex,642
mes,938
return,297
if_close,807
resume_countdialog,136
resume_namedialog,124
resume_stringdialog,959
abort_dialog,1178
opplayer,1015
resume_objdialog,861
if_dragpickup,870
cc_dragpickup,1070
if_opensubclient,875
if_closesubclient,1032
opplayert,1113
mes_typed,1019
setup_messagebox,250
resume_hsldialog,1013
resume_clanforumqfcdialog,163
sound_synth,311
