// Cache 848 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 869 is still covered by its seven other caches.
push_var,1234
pop_var,207
push_varbit,548
pop_varbit,707
push_constant_string,915
branch,773
branch_not,836
branch_equals,236
branch_less_than,587
branch_greater_than,392
branch_less_than_or_equals,747
branch_greater_than_or_equals,1209
push_int_local,1150
pop_int_local,672
push_string_local,423
pop_string_local,1038
join_string,1060
pop_int_discard,528
pop_string_discard,1013
gosub_with_params,823
define_array,581
push_array_int,1110
pop_array_int,284
switch,764
push_long_local,904
long_branch_not,1204
cc_create,833
cc_delete,678
cc_deleteall,624
if_sendtofront,1129
if_sendtoback,1051
cc_sendtofront,1021
cc_sendtoback,317
if_resume_pausebutton,481
cc_resume_pausebutton,540
baseidkit,1236
basecolour,353
setobj,270
cc_setposition,518
cc_setsize,891
cc_sethide,369
cc_setaspect,304
cc_setnoclickthrough,721
cc_setscrollpos,161
cc_setcolour,230
cc_setfill,218
cc_settrans,171
cc_setlinewid,726
cc_setgraphic,556
cc_set2dangle,442
cc_settiling,918
cc_setmodel,944
cc_setmodelangle,881
cc_setmodelanim,636
cc_settext,989
cc_settextfont,549
cc_settextalign,1140
cc_settextshadow,408
cc_setoutline,349
cc_setgraphicshadow,494
cc_setvflip,1116
cc_sethflip,108
cc_setscrollsize,877
cc_setalpha,1184
cc_setmodelzoom,30
cc_setlinedirection,1216
cc_setmaxlines,1149
cc_setparam_int,658
cc_setparam_string,1030
cc_setretex,143
cc_setparam,1068
cc_setclickmask,782
cc_setobject,1205
cc_setnpchead,310
cc_setplayerhead_self,1231
cc_setnpcmodel,638
cc_setobject_nonum,50
cc_setlinkfriend,1156
cc_setlinkfriendchat,684
cc_setlinkplayergroup,515
cc_setlinkactiveclanchannel,1104
cc_resetlinkplayer,86
cc_setobject_wearcol,204
cc_setplayermodel_self,688
cc_setobject_alwaysnum,1007
cc_setop,363
cc_setdraggable,817
cc_setdragrenderbehaviour,503
cc_setdragdeadzone,66
cc_setdragdeadtime,719
cc_setopbase,659
cc_settargetverb,956
cc_clearops,699
cc_settargetcursors,445
cc_setopcursor,1066
cc_setpausetext,384
cc_settargetopcursor,971
cc_setopkey,249
cc_setoptkey,1085
cc_setopkeyrate,784
cc_setopkeyignoreheld,1162
cc_setoptkeyignoreheld,1229
cc_setmouseovercursor,673
cc_setonclick,487
cc_setonhold,26
cc_setonrelease,676
cc_setonmouseover,1049
cc_setonmouseleave,1109
cc_setondrag,241
cc_setontargetleave,146
cc_setonvartransmit,687
cc_setontimer,208
cc_setonop,696
cc_setondragcomplete,995
cc_setonclickrepeat,215
cc_setonmouserepeat,1143
cc_setoninvtransmit,546
cc_setonstattransmit,861
cc_setontargetenter,183
cc_setonscrollwheel,191
cc_setonmisctransmit,78
cc_setonvarctransmit,158
cc_setonvarcstrtransmit,1073
cc_clearscripthooks,1053
if_setposition,430
if_setsize,125
if_sethide,716
if_setnoclickthrough,169
if_setscrollpos,766
if_setcolour,1167
if_setfill,1175
if_settrans,1111
if_setgraphic,1133
if_set2dangle,853
if_settiling,907
if_setmodel,524
if_setmodelangle,762
if_setmodelanim,504
if_setmodelorthog,724
if_setmodeltint,933
if_setmodellighting,233
if_settext,639
if_settextfont,1012
if_settextalign,52
if_settextshadow,611
if_settextantimacro,1002
if_setoutline,730
if_setgraphicshadow,1035
if_setvflip,551
if_sethflip,1182
if_setscrollsize,1112
if_setmodelzoom,796
if_setlinedirection,734
if_setmaxlines,195
if_setparam_int,485
if_setparam_string,1189
if_setrecol,780
if_setretex,1079
if_setclickmask,275
if_setobject,93
if_setnpchead,970
if_setnpcmodel,634
if_setobject_nonum,224
if_setplayermodel_self,40
if_setobject_alwaysnum,453
if_setop,1186
if_setdraggable,53
if_setdragrenderbehaviour,479
if_setdragdeadzone,147
if_setdragdeadtime,620
if_setopbase,7
if_settargetverb,372
if_clearops,1092
if_settargetcursors,471
if_setopcursor,905
if_setpausetext,354
if_setopkey,1200
if_setoptkey,809
if_setopkeyrate,1055
if_setmouseovercursor,567
if_setonclick,1261
if_setonhold,427
if_setonrelease,806
if_setonmouseover,25
if_setonmouseleave,185
if_setondrag,22
if_setontargetleave,138
if_setonvartransmit,906
if_setontimer,525
if_setonop,117
if_setondragcomplete,1120
if_setonclickrepeat,558
if_setonmouserepeat,650
if_setoninvtransmit,91
if_setonstattransmit,344
if_setontargetenter,292
if_setonscrollwheel,873
if_setonchattransmit,537
if_setonkey,603
if_setonfriendtransmit,552
if_setonclantransmit,59
if_setonmisctransmit,914
if_setondialogabort,783
if_setonsubchange,359
if_setonstocktransmit,839
if_setoncamfinished,1254
if_setonresize,655
if_setonvarctransmit,190
if_setonvarcstrtransmit,547
if_setonclansettingstransmit,856
if_setonclanchanneltransmit,909
if_setonvarclantransmit,1065
if_setonplayergrouptransmit,1106
if_setonplayergroupvarptransmit,338
if_setoncameraupdatetransmit,385
if_clearscripthooks,414
if_callonresize,51
if_npc_setcustombodymodel,294
if_npc_setcustomrecol,396
cc_npc_setcustomrecol,585
mes,808
return,127
if_close,1219
resume_countdialog,651
resume_namedialog,219
resume_stringdialog,656
abort_dialog,985
opplayer,913
resume_objdialog,393
cc_dragpickup,802
if_opensubclient,202
if_closesubclient,1121
mes_typed,388
setup_messagebox,855
resume_hsldialog,374
resume_clanforumqfcdialog,118
sound_synth,210
sound_synth_volume,366
sound_jingle_volume,405
sound_vorbis_volume,1256
sound_speech_volume,843
sound_vorbis_rate,517
email_validation_add_new_address,165
friend_setrank,531
friend_setnotes,653
friend_add,814
friend_del,912
ignore_add,872
ignore_del,885
ignore_setnotes,114
clan_kickuser,429
clan_joinchat,994
clan_leavechat,626
ignore_add_temp,1064
activeclanchannel_kickuser,48
chat_setfilter,942
chat_sendabusereport,580
chat_setmode,669
chat_sendpublic,1128
chat_sendprivate,739
activechatphrase_prepare,1105
activechatphrase_send,1039
activechatphrase_sendprivate,545
activechatphrase_setdynamicint,1022
activechatphrase_setdynamicobj,157
worldmap_3dview_enable,142
worldmap_3dview_disable,145
worldmap_3dview_setloddistance,198
worldmap_setcategorypriority,498
worldmap_3dview_settextfont,536
worldmap_disabletextsize,670
worldmap_disabletype,231
worldmap_setzoom,279
worldmap_setmap,72
worldmap_jumptosourcecoord,455
worldmap_jumptodisplaycoord,532
worldmap_setmap_coord_override,976
worldmap_flashelementcategory,312
worldmap_disableelementcategory,1083
worldmap_closemap,1045
setwindowmode,140
setdefaultwindowmode,461
openurl,1048
urlencode,1032
spline_new,984
spline_addpoint,1211
quit,285
openurl_nologin,694
formatminimenu,648
setdefaultcursors,166
sethardcodedopcursors,613
notify_accountcreated,501
notify_accountcreatestarted,731
openurl_shim,139
cam_moveto,73
cam_lookat,153
cam_movealong,988
cam_reset,124
cam_forceangle,690
cam_inc_x,1119
cam_dec_x,1047
cam_inc_y,150
cam_dec_y,371
cam_followcoord,575
cam_smoothreset,627
cam2_setlookatmode,718
cam2_setpositionmode,617
cam2_setdepthplanes,33
cam2_setfieldofview,390
cam2_setlookatpoint_point,1080
cam2_setpositionpoint_point,228
cam2_getpositionpoint_point,977
cam2_setlookatentity_player,948
cam2_setlookatentity_npc,813
cam2_setpositionentity_player,286
cam2_setpositionentity_npc,449
cam2_setfieldofviewscreen,172
cam2_removealleffects,805
cam2_setlookatacceleration_axis,1180
cam2_setpositionacceleration_axis,326
cam2_setlookatmaxspeed_axis,80
cam2_setpositionmaxspeed_axis,420
cam2_setcollisionmode,1046
cam2_setpositionpointcollision,119
cam2_updateeffect_ztilt,482
cam2_setlinearmovementmode,1152
cam2_setspringproperties,1246
cam2_setpositionangularinterpolation,908
cam2_enable,527
cam2_setsnapdistances,211
cam2_resetsnapdistances,266
cam2_setlookatorientation_vector,608
cam2_setlookatorientation_xrotation,713
cam2_setlookatorientation_yrotation,759
cam2_setlookatorientation_xmovement,301
cam2_setlookatorientation_zmovement,1171
cam2_setlookatorientation_maxdistanceclamping,868
login_continue,728
login_resetreply,355
resend_uid_passport_request,893
create_availablerequest,193
create_name_availablerequest,192
create_suggest_name_request,832
create_createrequest,315
create_connectrequest,1020
create_step_reached,896
lobby_entergame,135
lobby_enterlobby,822
