// Cache 636 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 873 is still covered by 969, 971 and 1052.
push_var,469
pop_var,149
push_varbit,1208
pop_varbit,290
push_constant_string,1187
branch,1079
branch_not,325
branch_equals,1218
branch_less_than,857
branch_greater_than,697
branch_less_than_or_equals,1028
branch_greater_than_or_equals,858
push_int_local,966
pop_int_local,533
push_string_local,776
pop_string_local,572
join_string,416
pop_int_discard,1071
pop_string_discard,1177
gosub_with_params,1093
define_array,733
push_array_int,479
pop_array_int,1192
switch,844
push_long_local,440
long_branch_not,347
cc_create,24
cc_delete,437
cc_deleteall,122
if_sendtofront,1066
if_sendtoback,14
cc_sendtofront,452
cc_sendtoback,907
if_resume_pausebutton,34
cc_resume_pausebutton,90
baseidkit,304
basecolour,340
setobj,249
cc_setposition,295
cc_setsize,1179
cc_sethide,298
cc_setaspect,379
cc_setnoclickthrough,517
cc_setscrollpos,770
cc_setcolour,245
cc_setfill,1086
cc_settrans,1072
cc_setlinewid,706
cc_setgraphic,646
cc_set2dangle,516
cc_settiling,1057
cc_setmodel,732
cc_setmodelangle,1137
cc_setmodelanim,507
cc_settext,542
cc_settextfont,1123
cc_settextalign,520
cc_settextshadow,587
cc_setoutline,636
cc_setgraphicshadow,670
cc_setvflip,750
cc_sethflip,1224
cc_setscrollsize,791
cc_setalpha,223
cc_setmodelzoom,1228
cc_setlinedirection,1033
cc_setmaxlines,392
cc_setparam_int,736
cc_setparam_string,973
cc_setretex,244
cc_setparam,252
cc_setclickmask,142
cc_setobject,602
cc_setnpchead,513
cc_setplayerhead_self,81
cc_setnpcmodel,579
cc_setobject_nonum,1197
cc_setlinkfriend,932
cc_setlinkfriendchat,1007
cc_setlinkplayergroup,789
cc_setlinkactiveclanchannel,121
cc_resetlinkplayer,846
cc_setobject_wearcol,343
cc_setplayermodel_self,175
cc_setobject_alwaysnum,780
cc_setop,762
cc_setdraggable,769
cc_setdragrenderbehaviour,957
cc_setdragdeadzone,537
cc_setdragdeadtime,714
cc_setopbase,76
cc_settargetverb,812
cc_clearops,954
cc_settargetcursors,1185
cc_setopcursor,900
cc_setpausetext,271
cc_settargetopcursor,1076
cc_setopkey,1221
cc_setoptkey,1075
cc_setopkeyrate,485
cc_setopkeyignoreheld,694
cc_setoptkeyignoreheld,246
cc_setmouseovercursor,12
cc_setonclick,781
cc_setonhold,158
cc_setonrelease,193
cc_setonmouseover,820
cc_setonmouseleave,335
cc_setondrag,758
cc_setontargetleave,584
cc_setonvartransmit,879
cc_setontimer,1186
cc_setonop,622
cc_setondragcomplete,1248
cc_setonclickrepeat,621
cc_setonmouserepeat,308
cc_setoninvtransmit,1163
cc_setonstattransmit,458
cc_setontargetenter,652
cc_setonscrollwheel,631
cc_setonmisctransmit,352
cc_setonvarctransmit,151
cc_setonvarcstrtransmit,388
cc_clearscripthooks,950
if_setposition,830
if_setsize,359
if_sethide,150
if_setnoclickthrough,190
if_setscrollpos,174
if_setcolour,355
if_setfill,1140
if_settrans,926
if_setgraphic,296
if_set2dangle,69
if_settiling,787
if_setmodel,880
if_setmodelangle,1128
if_setmodelanim,1173
if_setmodelorthog,172
if_setmodeltint,130
if_setmodellighting,676
if_settext,1222
if_settextfont,302
if_settextalign,822
if_settextshadow,1149
if_settextantimacro,869
if_setoutline,48
if_setgraphicshadow,432
if_setvflip,571
if_sethflip,614
if_setscrollsize,208
if_setmodelzoom,1098
if_setlinedirection,1022
if_setmaxlines,629
if_setparam_int,581
if_setparam_string,329
if_setrecol,634
if_setretex,147
if_setclickmask,403
if_setobject,291
if_setnpchead,1024
if_setnpcmodel,169
if_setobject_nonum,953
if_setplayermodel_self,441
if_setobject_alwaysnum,402
if_setop,50
if_setdraggable,526
if_setdragrenderbehaviour,974
if_setdragdeadzone,376
if_setdragdeadtime,1058
if_setopbase,653
if_settargetverb,1188
if_clearops,512
if_settargetcursors,323
if_setopcursor,361
if_setpausetext,731
if_setopkey,431
if_setoptkey,700
if_setopkeyrate,1162
if_setmouseovercursor,1051
if_setonclick,274
if_setonhold,71
if_setonrelease,332
if_setonmouseover,933
if_setonmouseleave,276
if_setondrag,1251
if_setontargetleave,206
if_setonvartransmit,649
if_setontimer,390
if_setonop,916
if_setondragcomplete,1126
if_setonclickrepeat,754
if_setonmouserepeat,686
if_setoninvtransmit,1034
if_setonstattransmit,677
if_setontargetenter,1239
if_setonscrollwheel,777
if_setonchattransmit,339
if_setonkey,559
if_setongamepadbutton,896
if_setongamepadbuttonheld,850
if_setongamepadaxis,344
if_setongamepadtrigger,952
if_setonfriendtransmit,348
if_setonclantransmit,196
if_setonmisctransmit,1027
if_setondialogabort,217
if_setonsubchange,999
if_setonstocktransmit,364
if_setoncamfinished,983
if_setonresize,924
if_setonvarctransmit,1037
if_setonvarcstrtransmit,598
if_setonclansettingstransmit,1157
if_setonclanchanneltransmit,535
if_setonvarclantransmit,620
if_setonplayergrouptransmit,872
if_setonplayergroupvarptransmit,874
if_setoncameraupdatetransmit,719
if_clearscripthooks,887
if_callonresize,396
if_npc_setcustombodymodel,823
if_npc_setcustomrecol,148
cc_npc_setcustomrecol,467
mes,457
return,919
if_close,478
resume_countdialog,710
resume_namedialog,557
resume_stringdialog,1108
abort_dialog,898
opplayer,824
resume_objdialog,766
cc_dragpickup,761
if_opensubclient,464
if_closesubclient,760
mes_typed,745
setup_messagebox,96
resume_hsldialog,77
resume_clanforumqfcdialog,912
sound_synth,292
sound_synth_volume,312
sound_jingle_volume,1099
sound_vorbis_volume,603
sound_speech_volume,665
sound_vorbis_rate,450
email_validation_add_new_address,554
friend_setrank,997
friend_setnotes,1045
friend_add,935
friend_del,875
ignore_add,1215
ignore_del,17
ignore_setnotes,277
clan_kickuser,1039
clan_joinchat,358
clan_leavechat,583
ignore_add_temp,1241
activeclanchannel_kickuser,155
chat_setfilter,743
chat_sendabusereport,259
chat_setmode,1200
chat_sendpublic,890
chat_sendprivate,1142
activechatphrase_prepare,701
activechatphrase_send,1004
activechatphrase_sendprivate,674
activechatphrase_setdynamicint,426
activechatphrase_setdynamicobj,1110
worldmap_3dview_enable,1116
worldmap_3dview_disable,1122
worldmap_3dview_setloddistance,524
worldmap_setcategorypriority,336
worldmap_3dview_settextfont,375
worldmap_disabletextsize,854
worldmap_disabletype,1133
worldmap_setzoom,949
worldmap_setmap,436
worldmap_jumptosourcecoord,51
worldmap_jumptodisplaycoord,656
worldmap_setmap_coord_override,31
worldmap_flashelementcategory,663
worldmap_disableelementcategory,908
worldmap_closemap,491
setwindowmode,627
setdefaultwindowmode,194
openurl,804
urlencode,1165
spline_new,1092
spline_addpoint,1105
quit,98
openurl_nologin,1216
formatminimenu,765
setdefaultcursors,741
sethardcodedopcursors,184
notify_accountcreated,227
notify_accountcreatestarted,722
openurl_shim,668
cam_moveto,1115
cam_lookat,640
cam_movealong,449
cam_reset,8
cam_forceangle,282
cam_inc_x,317
cam_dec_x,218
cam_inc_y,82
cam_dec_y,137
cam_followcoord,995
cam_smoothreset,203
cam2_setlookatmode,499
cam2_setpositionmode,560
cam2_setdepthplanes,286
cam2_setfieldofview,1242
cam2_setlookatpoint_point,300
cam2_setpositionpoint_point,39
cam2_getpositionpoint_point,356
cam2_setlookatentity_player,1008
cam2_setlookatentity_npc,1170
cam2_setpositionentity_player,1244
cam2_setpositionentity_npc,1055
cam2_setfieldofviewscreen,1059
cam2_removealleffects,112
cam2_setlookatacceleration_axis,971
cam2_setpositionacceleration_axis,78
cam2_setlookatmaxspeed_axis,318
cam2_setpositionmaxspeed_axis,558
cam2_setcollisionmode,4
cam2_setpositionpointcollision,365
cam2_updateeffect_ztilt,179
cam2_setlinearmovementmode,429
cam2_setspringproperties,744
cam2_setpositionangularinterpolation,904
cam2_enable,588
cam2_setsnapdistances,1227
cam2_resetsnapdistances,793
cam2_setlookatorientation_vector,659
cam2_setlookatorientation_xrotation,807
cam2_setlookatorientation_yrotation,958
cam2_setlookatorientation_xmovement,818
cam2_setlookatorientation_zmovement,153
cam2_setlookatorientation_maxdistanceclamping,222
login_continue,594
login_resetreply,1143
resend_uid_passport_request,752
create_availablerequest,445
create_name_availablerequest,1083
create_suggest_name_request,140
create_createrequest,541
create_connectrequest,773
create_step_reached,938
lobby_entergame,506
lobby_enterlobby,826
lobby_leavelobby,316
create_setunder13,28
login_cancel,106
lobby_enterlobby_social_network,849
viewport_setfov,574
viewport_setzoom,54
viewport_clampfov,393
worldlist_sort,297
worldlist_pingworlds,1054
if_triggerop,539
force_interface_drag,691
cancel_interface_drag,1069
targetmode_active,156
targetmode_cancel,864
autosetup_sethigh,877
autosetup_setmedium,742
autosetup_setlow,117
autosetup_setmin,289
autosetup_setcustom,242
autosetup_blackflaglast,1132
video_advert_force_remove,52
video_advert_allow_skip,718
bug_report,768
array_sort,1020
cc_find,178
if_find,1189
cc_getx,984
cc_gety,294
cc_getwidth,32
cc_getheight,100
cc_gethide,309
cc_getlayer,790
cc_getparentlayer,829
cc_getcolour,1158
cc_getscrollx,188
cc_getscrolly,1109
cc_gettext,813
cc_getmodelzoom,763
cc_getmodelangle_x,423
cc_getmodelangle_z,451
cc_getmodelangle_y,798
cc_gettrans,1087
cc_getmodelxof,63
cc_getmodelyof,940
cc_getgraphic,698
cc_param,313
cc_get2dangle,1159
cc_getmodel,415
cc_getgraphicdimensions,811
