// Cache 1995 is Portuguese and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 877 is still covered by 1518, 1410, 2012 and 610.
push_var,1091
pop_var,875
push_varbit,67
pop_varbit,51
push_constant_string,656
branch,689
branch_not,883
branch_equals,1090
branch_less_than,166
branch_greater_than,739
branch_less_than_or_equals,474
branch_greater_than_or_equals,315
push_int_local,469
pop_int_local,627
push_string_local,716
pop_string_local,273
join_string,1267
pop_int_discard,655
pop_string_discard,741
gosub_with_params,323
define_array,851
push_array_int,488
pop_array_int,62
switch,361
push_long_local,552
long_branch_not,18
cc_create,84
cc_delete,418
cc_deleteall,364
if_sendtofront,821
if_sendtoback,40
cc_sendtofront,275
cc_sendtoback,1231
if_resume_pausebutton,1210
cc_resume_pausebutton,1194
baseidkit,129
basecolour,546
setobj,46
cc_setposition,632
cc_setsize,235
cc_sethide,466
cc_setaspect,742
cc_setnoclickthrough,247
cc_setscrollpos,187
cc_setcolour,896
cc_setfill,1163
cc_settrans,161
cc_setlinewid,541
cc_setgraphic,790
cc_set2dangle,467
cc_settiling,205
cc_setmodel,524
cc_setmodelangle,988
cc_setmodelanim,740
cc_settext,796
cc_settextfont,1000
cc_settextalign,773
cc_settextshadow,499
cc_setoutline,1121
cc_setgraphicshadow,604
cc_setvflip,832
cc_sethflip,748
cc_setscrollsize,1119
cc_setalpha,286
cc_setmodelzoom,690
cc_setlinedirection,72
cc_setmaxlines,941
cc_setparam_int,504
cc_setparam_string,353
cc_setretex,172
cc_setfontmono,1182
cc_setparam,1238
cc_setclickmask,841
cc_setobject,774
cc_setnpchead,260
cc_setplayerhead_self,645
cc_setnpcmodel,366
cc_setobject_nonum,707
cc_setlinkfriend,160
cc_setlinkfriendchat,1158
cc_setlinkplayergroup,325
cc_setlinkactiveclanchannel,369
cc_resetlinkplayer,1038
cc_setobject_wearcol,25
cc_setplayermodel_self,745
cc_setobject_alwaysnum,1016
cc_setop,888
cc_setdraggable,346
cc_setdragrenderbehaviour,399
cc_setdragdeadzone,987
cc_setdragdeadtime,892
cc_setopbase,1257
cc_settargetverb,1102
cc_clearops,590
cc_settargetcursors,535
cc_setopcursor,94
cc_setpausetext,1087
cc_settargetopcursor,780
cc_setopkey,603
cc_setoptkey,527
cc_setopkeyrate,1189
cc_setopkeyignoreheld,684
cc_setoptkeyignoreheld,292
cc_setmouseovercursor,764
cc_setonclick,928
cc_setonhold,461
cc_setonrelease,213
cc_setonmouseover,257
cc_setonmouseleave,723
cc_setondrag,664
cc_setontargetleave,865
cc_setonvartransmit,321
cc_setontimer,289
cc_setonop,1061
cc_setondragcomplete,1134
cc_setonclickrepeat,715
cc_setonmouserepeat,806
cc_setoninvtransmit,1233
cc_setonstattransmit,1104
cc_setontargetenter,245
cc_setonscrollwheel,180
cc_setonmisctransmit,876
cc_setonvarctransmit,400
cc_setonvarcstrtransmit,142
cc_clearscripthooks,537
if_setposition,1114
if_setsize,667
if_sethide,737
if_setnoclickthrough,704
if_setscrollpos,415
if_setcolour,236
if_setfill,1079
if_settrans,909
if_setgraphic,869
if_set2dangle,253
if_settiling,755
if_setmodel,1152
if_setmodelangle,165
if_setmodelanim,454
if_setmodelorthog,1122
if_setmodeltint,138
if_setmodellighting,31
if_settext,1161
if_settextfont,281
if_settextalign,1169
if_settextshadow,338
if_settextantimacro,372
if_setoutline,82
if_setgraphicshadow,945
if_setvflip,1028
if_sethflip,1083
if_setscrollsize,584
if_setmodelzoom,1135
if_setlinedirection,104
if_setmaxlines,69
if_setparam_int,100
if_setparam_string,204
if_setrecol,475
if_setretex,1190
if_setclickmask,536
if_setobject,316
if_setnpchead,6
if_setnpcmodel,216
if_setobject_nonum,1268
if_setplayermodel_self,279
if_setobject_alwaysnum,722
if_setop,1225
if_setdraggable,925
if_setdragrenderbehaviour,388
if_setdragdeadzone,503
if_setdragdeadtime,515
if_setopbase,1049
if_settargetverb,229
if_clearops,1204
if_settargetcursors,1273
