// Incomplete, bruteforced from opcodes-891-1239.txt and opcodes-910-1730.txt and opcodes-883-596.txt
push_var,336
pop_var,757
push_varbit,494
pop_varbit,416
push_constant_string,225
branch,21
branch_not,1109
branch_equals,195
branch_less_than,510
branch_greater_than,70
branch_less_than_or_equals,941
branch_greater_than_or_equals,961
push_int_local,1276
pop_int_local,825
push_string_local,1273
pop_string_local,902
join_string,1279
pop_int_discard,68
pop_string_discard,502
gosub_with_params,366
define_array,905
push_array_int,236
pop_array_int,576
switch,39
push_long_local,903
long_branch_not,413
cc_create,1215
cc_delete,925
cc_deleteall,38
if_sendtofront,915
if_sendtoback,1207
cc_sendtofront,1146
cc_sendtoback,1064
if_resume_pausebutton,71
cc_resume_pausebutton,213
baseidkit,455
basecolour,333
setobj,291
cc_setposition,1073
cc_setsize,834
cc_sethide,636
cc_setaspect,656
cc_setnoclickthrough,25
cc_setscrollpos,1281
cc_setcolour,1117
cc_setfill,690
cc_settrans,386
cc_setlinewid,1196
cc_setgraphic,996
cc_set2dangle,309
cc_settiling,361
cc_setmodel,1007
cc_setmodelangle,719
cc_setmodelanim,1012
cc_settext,271
cc_settextfont,279
cc_settextalign,456
cc_settextshadow,453
cc_setoutline,918
cc_setgraphicshadow,1036
cc_setvflip,43
cc_sethflip,813
cc_setscrollsize,1172
cc_setalpha,954
cc_setmodelzoom,468
cc_setlinedirection,811
cc_setmaxlines,1301
cc_setparam_int,387
cc_setparam_string,1288
cc_setretex,864
cc_setfontmono,548
cc_setparam,1090
cc_setclickmask,326
cc_setobject,1045
cc_setnpchead,533
cc_setplayerhead_self,735
cc_setnpcmodel,886
cc_setobject_nonum,256
cc_setlinkfriend,606
cc_setlinkfriendchat,1289
cc_setlinkplayergroup,1071
cc_setlinkactiveclanchannel,1192
cc_resetlinkplayer,683
cc_setobject_wearcol,1139
cc_setplayermodel_self,947
cc_setobject_alwaysnum,1124
cc_setop,644
cc_setdraggable,168
cc_setdragrenderbehaviour,425
cc_setdragdeadzone,259
cc_setdragdeadtime,298
cc_setopbase,589
cc_settargetverb,859
cc_clearops,215
cc_settargetcursors,145
cc_setopcursor,1087
cc_setpausetext,1061
cc_settargetopcursor,445
cc_setopkey,667
cc_setoptkey,150
cc_setopkeyrate,206
cc_setopkeyignoreheld,522
cc_setoptkeyignoreheld,137
cc_setmouseovercursor,557
cc_setonclick,1291
cc_setonhold,1088
cc_setonrelease,569
cc_setonmouseover,346
cc_setonmouseleave,74
cc_setondrag,1220
cc_setontargetleave,128
cc_setonvartransmit,60
cc_setontimer,935
cc_setonop,892
cc_setondragcomplete,971
cc_setonclickrepeat,381
cc_setonmouserepeat,1111
