// Incomplete, bruteforced from opcodes-910-1730.txt
push_var,677
pop_var,778
push_varbit,612
pop_varbit,858
push_constant_string,1253
branch,240
branch_not,895
branch_equals,74
branch_less_than,1169
branch_greater_than,1167
branch_less_than_or_equals,114
branch_greater_than_or_equals,760
push_int_local,383
pop_int_local,1274
push_string_local,996
pop_string_local,1189
join_string,917
pop_int_discard,108
pop_string_discard,214
gosub_with_params,624
define_array,955
push_array_int,243
pop_array_int,623
switch,758
push_long_local,365
long_branch_not,785
cc_create,971
cc_delete,823
cc_deleteall,1103
if_sendtofront,1139
if_sendtoback,1154
cc_sendtofront,1348
cc_sendtoback,751
if_resume_pausebutton,974
cc_resume_pausebutton,182
baseidkit,25
basecolour,834
setobj,495
cc_setposition,1328
cc_setsize,1145
cc_sethide,172
cc_setaspect,1238
cc_setnoclickthrough,474
cc_setscrollpos,1209
cc_setcolour,732
cc_setfill,441
cc_settrans,164
cc_setlinewid,465
cc_setgraphic,1246
cc_set2dangle,722
cc_settiling,296
cc_setmodel,1268
cc_setmodelangle,1343
cc_setmodelanim,5
cc_settext,1221
cc_settextfont,1135
cc_settextalign,1325
cc_settextshadow,190
cc_setoutline,1235
cc_setvflip,1364
cc_sethflip,958
cc_setscrollsize,879
cc_setalpha,1373
cc_setmodelzoom,112
cc_setlinedirection,899
cc_setmaxlines,132
cc_setparam_int,1262
cc_setparam_string,1099
cc_setretex,870
cc_setfontmono,332
cc_setparam,822
cc_setclickmask,1297
cc_setheld,1211
cc_setobject,287
cc_setnpchead,235
cc_setplayerhead_self,105
cc_setnpcmodel,309
cc_setobject_nonum,644
cc_setlinkfriend,1430
cc_setlinkfriendchat,956
cc_setlinkplayergroup,684
cc_setlinkactiveclanchannel,351
cc_resetlinkplayer,799
cc_setobject_wearcol,752
cc_setplayermodel_self,670
cc_setobject_alwaysnum,660
cc_setop,299
cc_setdraggable,326
cc_setdragrenderbehaviour,647
cc_setdragdeadzone,1048
cc_setdragdeadtime,306
cc_setopbase,943
cc_settargetverb,683
cc_clearops,556
cc_settargetcursors,119
cc_setopcursor,50
cc_setpausetext,100
cc_settargetopcursor,98
cc_setopkey,1412
cc_setoptkey,1137
cc_setopkeyrate,873
cc_setopkeyignoreheld,449
cc_setoptkeyignoreheld,753
cc_setmouseovercursor,281
cc_setonclick,496
cc_setonhold,924
cc_setonrelease,57
cc_setonmouseover,440
cc_setonmouseleave,951
cc_setondrag,438
cc_setontargetleave,775
cc_setonvartransmit,1327
cc_setontimer,1339
cc_setonop,82
cc_setondragcomplete,389
cc_setonclickrepeat,125
cc_setonmouserepeat,1332
cc_setoninvtransmit,1401
cc_setonstattransmit,1294
cc_setontargetenter,667
cc_setonscrollwheel,789
cc_setonmisctransmit,499
cc_setonresize,673
cc_setonvarctransmit,514
cc_setonvarcstrtransmit,859
cc_clearscripthooks,410
cc_callonresize,217
if_setposition,927
if_setsize,1091
if_sethide,839
if_setnoclickthrough,1141
if_setscrollpos,816
if_setcolour,298
if_setfill,1303
if_settrans,745
if_setgraphic,1021
if_set2dangle,455
if_settiling,453
if_setmodel,1041
if_setmodelangle,1072
if_setmodelanim,787
if_setmodelorthog,142
if_setmodeltint,1266
if_setmodellighting,782
if_resetmodellighting,948
if_settext,232
if_settextfont,705
if_settextalign,61
if_settextshadow,1046
if_settextantimacro,638
if_setoutline,274
if_setgraphicshadow,16
if_setvflip,68
if_sethflip,1064
if_setscrollsize,798
if_setmodelzoom,1081
if_setlinedirection,1205
if_setmaxlines,116
if_setparam_int,336
if_setparam_string,986
if_setrecol,1009
if_setretex,582
if_setobject,56
if_setnpchead,1144
if_setnpcmodel,216
if_setobject_nonum,39
if_setplayermodel_self,278
if_setobject_alwaysnum,380
if_setop,803
if_setdraggable,124
if_setdragrenderbehaviour,478
if_setopbase,679
if_settargetverb,599
if_clearops,1171
if_settargetcursors,1050
if_setopcursor,1315
if_setpausetext,620
if_setopkey,933
if_setoptkey,90
if_setopkeyrate,891
if_setopkeyignoreheld,1279
if_setmouseovercursor,11
if_setonclick,1392
if_setonhold,262
if_setonrelease,1034
if_setonmouseover,1181
if_setonmouseleave,1079
if_setondrag,268
if_setontargetleave,1001
if_setonvartransmit,889
if_setontimer,422
if_setonop,1417
if_setondragcomplete,1251
if_setonclickrepeat,972
if_setonmouserepeat,826
if_setoninvtransmit,1206
if_setonstattransmit,1425
if_setontargetenter,1093
if_setonscrollwheel,269
if_setonchattransmit,800
if_setonkey,484
if_setongamepadbutton,327
if_setongamepadbuttonheld,706
if_setongamepadaxis,736
if_setongamepadtrigger,1369
if_setonfriendtransmit,139
if_setonclantransmit,420
if_setonmisctransmit,1193
if_setondialogabort,584
if_setonsubchange,1174
if_setonstocktransmit,600
if_setoncamfinished,942
if_setonresize,24
if_setonvarctransmit,489
if_setonvarcstrtransmit,851
if_setonclansettingstransmit,1138
if_setonclanchanneltransmit,198
if_setonvarclantransmit,1421
if_setonplayergrouptransmit,702
if_setonplayergroupvarptransmit,518
if_setoncameraupdatetransmit,735
if_clearscripthooks,7
if_callonresize,1290
if_npc_setcustombodymodel,922
cc_npc_setcustombodymodel,651
if_npc_setcustomheadmodel,487
if_npc_setcustomrecol,1014
cc_npc_setcustomrecol,70
if_npc_setcustomretex,259
cc_npc_setcustomretex,571
mes,292
return,275
if_close,1245
resume_countdialog,689
resume_namedialog,1207
resume_stringdialog,997
abort_dialog,493
opplayer,522
resume_objdialog,869
cc_dragpickup,678
if_opensubclient,1107
if_closesubclient,471
mes_typed,565
setup_messagebox,223
resume_hsldialog,740
resume_clanforumqfcdialog,398
sound_synth,1092
sound_synth_volume,553
sound_jingle_volume,577
sound_vorbis_volume,759
sound_speech_volume,1390
sound_vorbis_rate,221
friend_setrank,167
friend_setnotes,181
friend_add,1004
friend_del,19
ignore_add,586
ignore_del,1372
ignore_setnotes,81
clan_kickuser,1199
clan_joinchat,248
clan_leavechat,744
ignore_add_temp,555
activeclanchannel_kickuser,777
chat_setfilter,901
chat_sendabusereport,447
chat_setmode,502
chat_sendpublic,994
chat_sendprivate,724
activechatphrase_prepare,631
activechatphrase_send,85
activechatphrase_sendprivate,1427
activechatphrase_setdynamicint,498
activechatphrase_setdynamicobj,417
worldmap_3dview_enable,795
worldmap_3dview_disable,400
worldmap_3dview_setloddistance,294
worldmap_disabletextsize,589
worldmap_disabletype,690
worldmap_setzoom,896
worldmap_setmap,1057
worldmap_jumptosourcecoord,156
worldmap_jumptodisplaycoord,1187
worldmap_setmap_coord_override,537
worldmap_flashelementcategory,756
worldmap_disableelementcategory,1201
worldmap_closemap,847
setwindowmode,121
setdefaultwindowmode,1140
openurl,14
urlencode,1127
spline_new,1162
spline_addpoint,273
quit,1386
openurl_nologin,199
formatminimenu,1185
setdefaultcursors,746
sethardcodedopcursors,653
notify_accountcreated,1318
notify_accountcreatestarted,1226
openurl_shim,1192
cam_moveto,618
cam_lookat,861
cam_movealong,717
cam_reset,1115
cam_forceangle,515
cam_inc_x,916
cam_dec_x,347
cam_inc_y,308
cam_dec_y,1370
cam_followcoord,531
cam_smoothreset,786
cam2_setlookatmode,448
cam2_setpositionmode,263
cam2_setdepthplanes,355
cam2_setfieldofview,765
cam2_setlookatpoint_point,1132
cam2_setpositionpoint_point,957
cam2_getpositionpoint_point,402
cam2_setlookatentity_player,1084
cam2_setlookatentity_npc,260
cam2_setpositionentity_player,754
cam2_setpositionentity_npc,135
cam2_setfieldofviewscreen,238
cam2_removealleffects,1418
cam2_setlookatacceleration_axis,1411
cam2_setpositionacceleration_axis,1223
cam2_setlookatmaxspeed_axis,999
cam2_setpositionmaxspeed_axis,542
cam2_setcollisionmode,373
cam2_setpositionpointcollision,1230
cam2_updateeffect_ztilt,1159
cam2_setlinearmovementmode,913
cam2_setspringproperties,937
cam2_setpositionangularinterpolation,256
cam2_enable,491
cam2_setsnapdistances,716
cam2_resetsnapdistances,411
cam2_setlookatorientation_vector,616
cam2_setlookatorientation_xrotation,533
cam2_setlookatorientation_yrotation,807
cam2_setlookatorientation_xmovement,1406
cam2_setlookatorientation_zmovement,544
cam2_setlookatorientation_maxdistanceclamping,33
login_continue,980
login_resetreply,817
resend_uid_passport_request,649
create_availablerequest,463
create_name_availablerequest,1040
create_suggest_name_request,794
create_createrequest,1424
create_connectrequest,130
create_step_reached,97
lobby_entergame,361
lobby_enterlobby,3
lobby_leavelobby,887
lobby_enterlobby_sso,871
sso_logout,340
