// Incomplete, bruteforced from opcodes-918.txt and opcodes-919.txt and opcodes-920.txt and opcodes-913-546.txt
push_constant_int,1126
push_var,1131
pop_var,1297
push_varbit,831
pop_varbit,1414
push_constant_string,1504
branch,1399
branch_not,1045
branch_equals,1245
branch_less_than,1291
branch_greater_than,211
branch_less_than_or_equals,116
branch_greater_than_or_equals,1456
push_int_local,1261
pop_int_local,616
push_string_local,666
pop_string_local,1255
join_string,237
pop_int_discard,1525
pop_string_discard,408
gosub_with_params,51
define_array,1033
push_array_int,515
pop_array_int,615
switch,694
push_long_local,295
long_branch_not,523
cc_create,1326
cc_delete,1139
cc_deleteall,813
if_sendtofront,983
if_sendtoback,1341
cc_sendtofront,1041
cc_sendtoback,542
if_resume_pausebutton,497
cc_resume_pausebutton,729
baseidkit,1000
basecolour,1447
setobj,1123
cc_setposition,930
cc_setsize,271
cc_sethide,775
cc_setaspect,461
cc_setnoclickthrough,1020
cc_setscrollpos,27
cc_setcolour,996
cc_setfill,417
cc_settrans,824
cc_setlinewid,1538
cc_setgraphic,169
cc_set2dangle,1184
cc_settiling,1223
cc_setmodel,426
cc_setmodelangle,1386
cc_setmodelanim,354
cc_settext,398
cc_settextfont,804
cc_settextalign,126
cc_settextshadow,141
cc_setoutline,764
cc_setvflip,37
cc_sethflip,664
cc_setscrollsize,1164
cc_setalpha,202
cc_setmodelzoom,352
cc_setlinedirection,119
cc_setmaxlines,1319
cc_setparam_int,1218
cc_setparam_string,409
cc_setretex,517
cc_setfontmono,404
cc_setparam,904
cc_setclickmask,731
cc_setheld,1449
cc_setobject,984
cc_setnpchead,1278
cc_setplayerhead_self,1038
cc_setnpcmodel,546
cc_setobject_nonum,1035
cc_setlinkfriend,428
cc_setlinkfriendchat,897
cc_setlinkplayergroup,552
cc_setlinkactiveclanchannel,254
cc_resetlinkplayer,771
cc_setobject_wearcol,1368
cc_setplayermodel_self,242
cc_setobject_alwaysnum,832
cc_setop,887
cc_setdraggable,491
cc_setdragrenderbehaviour,1405
cc_setdragdeadzone,1534
cc_setdragdeadtime,186
cc_setopbase,1149
cc_settargetverb,198
cc_clearops,377
cc_settargetcursors,1134
cc_setopcursor,782
cc_setpausetext,1327
cc_settargetopcursor,1314
cc_setopkey,79
cc_setoptkey,396
cc_setopkeyrate,563
cc_setoptkeyrate,1054
cc_setopkeyignoreheld,724
cc_setoptkeyignoreheld,682
cc_setmouseovercursor,1275
cc_setonclick,636
cc_setonhold,99
cc_setonrelease,1130
cc_setonmouseover,628
cc_setonmouseleave,1527
cc_setondrag,63
cc_setontargetleave,1351
cc_setonvartransmit,1409
cc_setontimer,196
cc_setonop,1465
cc_setondragcomplete,1174
cc_setonclickrepeat,711
cc_setonmouserepeat,737
cc_setoninvtransmit,912
cc_setonstattransmit,713
cc_setontargetenter,1426
cc_setonscrollwheel,975
cc_setonresize,473
cc_setonvarctransmit,1466
cc_setonvarcstrtransmit,70
cc_clearscripthooks,22
cc_callonresize,309
if_setposition,979
if_setsize,687
if_sethide,584
if_setnoclickthrough,71
if_setscrollpos,129
if_setcolour,219
if_setfill,1505
if_settrans,1544
if_setgraphic,1050
if_set2dangle,1502
if_settiling,705
if_setmodel,606
if_setmodelangle,1029
if_setmodelanim,1144
if_setmodelorthog,1215
if_setmodeltint,1537
if_setmodellighting,1477
if_resetmodellighting,187
if_settext,1340
if_settextfont,1204
if_settextalign,1312
if_settextshadow,723
if_settextantimacro,635
if_setoutline,1167
if_setgraphicshadow,504
if_setvflip,256
if_sethflip,406
if_setscrollsize,327
if_setmodelzoom,66
if_setlinedirection,1107
if_setmaxlines,1108
if_setparam_int,828
if_setparam_string,609
if_setrecol,1057
if_setretex,1474
if_setobject,249
if_setnpchead,1166
if_setplayerhead_self,576
if_setnpcmodel,1309
if_setobject_nonum,384
if_setplayermodel_self,262
if_setobject_alwaysnum,879
if_setop,42
if_setdraggable,676
if_setdragrenderbehaviour,956
if_setdragdeadzone,933
if_setdragdeadtime,1002
if_setopbase,1162
if_settargetverb,536
if_clearops,869
if_settargetcursors,1084
if_setopcursor,543
if_setpausetext,885
if_setopkey,532
if_setoptkey,170
if_setopkeyrate,164
if_setopkeyignoreheld,1221
if_setmouseovercursor,1146
if_setonclick,86
if_setonhold,795
if_setonrelease,325
if_setonmouseover,1329
if_setonmouseleave,364
if_setondrag,953
if_setontargetleave,1494
if_setonvartransmit,1385
if_setontimer,889
if_setonop,216
if_setondragcomplete,1532
if_setonclickrepeat,1344
if_setonmouserepeat,834
if_setoninvtransmit,746
if_setonstattransmit,1439
if_setontargetenter,596
if_setonscrollwheel,422
if_setonchattransmit,566
if_setonkey,1380
if_setongamepadbutton,75
if_setongamepadbuttonheld,8
if_setongamepadaxis,626
if_setongamepadtrigger,230
if_setonfriendtransmit,89
if_setonclantransmit,80
if_setonmisctransmit,1331
if_setondialogabort,1031
if_setonsubchange,7
if_setonstocktransmit,137
if_setoncamfinished,1508
if_setonresize,1028
if_setonvarctransmit,533
if_setonvarcstrtransmit,672
if_setonclansettingstransmit,1210
if_setonclanchanneltransmit,561
if_setonvarclantransmit,602
if_setonplayergrouptransmit,748
if_setonplayergroupvarptransmit,1219
if_setoncameraupdatetransmit,574
if_clearscripthooks,135
if_callonresize,1065
if_npc_setcustombodymodel,698
cc_npc_setcustombodymodel,617
if_npc_setcustomheadmodel,1528
if_npc_setcustomrecol,902
cc_npc_setcustomrecol,549
if_npc_setcustomretex,140
cc_npc_setcustomretex,261
mes,976
return,927
if_close,163
resume_countdialog,1446
resume_namedialog,714
resume_stringdialog,712
abort_dialog,1304
opplayer,895
resume_objdialog,222
cc_dragpickup,95
if_opensubclient,586
if_closesubclient,619
mes_typed,83
setup_messagebox,4
resume_hsldialog,3
resume_clanforumqfcdialog,296
sound_synth,506
sound_synth_volume,1270
sound_jingle_volume,28
sound_vorbis_volume,355
sound_speech_volume,1178
sound_vorbis_rate,1522
friend_setrank,245
friend_setnotes,603
friend_add,1444
friend_del,550
ignore_add,513
ignore_del,331
ignore_setnotes,1281
clan_kickuser,1325
clan_joinchat,783
clan_leavechat,941
ignore_add_temp,638
activeclanchannel_kickuser,294
chat_setfilter,811
chat_sendabusereport,1074
chat_setmode,600
chat_sendpublic,1445
chat_sendprivate,1181
activechatphrase_prepare,1285
activechatphrase_send,94
activechatphrase_sendprivate,995
activechatphrase_setdynamicint,122
activechatphrase_setdynamicobj,1423
worldmap_3dview_enable,1051
worldmap_3dview_disable,110
worldmap_3dview_setloddistance,822
worldmap_disabletextsize,759
worldmap_disabletype,48
worldmap_setzoom,663
worldmap_setmap,1039
worldmap_jumptosourcecoord,1268
worldmap_jumptodisplaycoord,258
worldmap_setmap_coord_override,1389
worldmap_flashelementcategory,359
worldmap_disableelementcategory,531
worldmap_closemap,1179
setwindowmode,1052
setdefaultwindowmode,763
openurl,462
urlencode,766
spline_new,1121
spline_addpoint,937
quit,940
openurl_nologin,1471
formatminimenu,1096
setdefaultcursors,581
sethardcodedopcursors,699
openurl_shim,752
cam_moveto,846
cam_lookat,1307
cam_movealong,655
cam_reset,627
cam_forceangle,1526
cam_inc_x,1442
cam_dec_x,1263
cam_inc_y,903
cam_dec_y,720
cam_followcoord,722
cam_smoothreset,1088
cam2_setlookatmode,1153
cam2_setpositionmode,130
cam2_setdepthplanes,23
cam2_setfieldofview,1087
cam2_setlookatpoint_point,762
cam2_setpositionpoint_point,20
cam2_getpositionpoint_point,284
cam2_setlookatentity_player,165
cam2_setlookatentity_npc,1432
cam2_setpositionentity_player,786
cam2_setpositionentity_npc,1060
cam2_setfieldofviewscreen,14
cam2_removealleffects,85
cam2_setlookatacceleration_axis,339
cam2_setpositionacceleration_axis,1189
cam2_setlookatmaxspeed_axis,800
cam2_setpositionmaxspeed_axis,5
cam2_setcollisionmode,1498
cam2_setpositionpointcollision,693
cam2_updateeffect_ztilt,1199
cam2_setlinearmovementmode,489
cam2_setspringproperties,959
cam2_setpositionangularinterpolation,1079
cam2_enable,721
cam2_setsnapdistances,1398
cam2_resetsnapdistances,1217
cam2_setlookatorientation_vector,1249
cam2_setlookatorientation_xrotation,100
cam2_setlookatorientation_yrotation,361
cam2_setlookatorientation_xmovement,1244
cam2_setlookatorientation_zmovement,362
